,feature_name,word,zwickau,zwickau norm.,london,london norm.,breslau,breslau norm.,zwickau / london,zwickau / breslau,london / breslau,version with higher score
0,word_counter,et,1524,0.056738644825018614,1687,0.05615471672991146,494,0.049868766404199474,1.0103985582888022,1.1377591409648469,1.1260498460050665,london
1,word_counter,in,1043,0.03883097542814594,1149,0.03824645496305173,380,0.03836058954169191,1.015282997225727,1.012262217345299,0.9970246917473431,london
2,word_counter,est,601,0.022375279225614296,674,0.022435257306437653,207,0.020896426408237433,0.9973266149790871,1.0707706087388174,1.073640864142857,london
3,word_counter,de,459,0.01708860759493671,531,0.017675254643499103,185,0.018675550171613164,0.966809697489809,0.9150256585699624,0.946438229721633,london
4,word_counter,ad,427,0.01589724497393894,441,0.014679448771719592,253,0.025540076721179084,1.0829592596532283,0.6224431174380994,0.5747613420263015,london
5,word_counter,que,263,0.009791511541325392,260,0.008654550296251914,92,0.009287300625883304,1.1313714989403747,1.054290362264884,0.9318692960290376,zwickau
6,word_counter,quod,247,0.009195830230826508,273,0.00908727781106451,80,0.00807591358772461,1.0119455377087543,1.1386736783320923,1.1252321749550631,london
7,word_counter,per,224,0.008339538346984364,258,0.008587976832434592,65,0.006561679790026247,0.9710713605430397,1.270945644080417,1.308807669263032,london
8,word_counter,sunt,215,0.00800446760982874,228,0.007589374875174755,55,0.0055521905915606705,1.0546939295371713,1.4416773844175184,1.3669154093360203,london
9,word_counter,contra,198,0.0073715562174236785,247,0.008221822781439318,111,0.011205330102967898,0.8965841776673772,0.6578615845927834,0.7337421303868278,london
10,word_counter,qui,181,0.006738644825018615,208,0.006923640237001531,54,0.005451241671714113,0.9732806145827367,1.2361669562339703,1.2701033368099475,london
11,word_counter,a,164,0.006105733432613552,181,0.006024898475467679,63,0.006359781950333132,1.0134168164783222,0.9600538949757118,0.9473435602854416,london
12,word_counter,non,160,0.005956813104988831,179,0.0059583250116503565,51,0.00514839491217444,0.9997462530730417,1.1570233454513599,1.1573170110864397,london
13,word_counter,usque,158,0.0058823529411764705,178,0.005925038279741695,59,0.005955986270946901,0.9927957699933906,0.9876370887337985,0.9948038847308682,london
14,word_counter,cum,144,0.005361131794489948,159,0.005292590373477132,36,0.0036341611144760752,1.012950448868346,1.4752047654504838,1.4563444511017907,london
15,word_counter,ab,144,0.005361131794489948,153,0.005092869982025165,63,0.006359781950333132,1.0526739958827909,0.8429741516859908,0.8007931752689093,london
16,word_counter,ubi,139,0.005174981384959047,141,0.004693429199121231,88,0.008883504946497072,1.1026013529570189,0.5825382454477763,0.5283307914374422,london
17,word_counter,sed,132,0.004914370811615785,150,0.004993009786299181,41,0.004138905713708864,0.9842501861504096,1.1873599331674625,1.20635987666048,london
18,word_counter,inde,121,0.004504839910647804,99,0.0032953864589574597,40,0.004037956793862305,1.3670141474311244,1.1156236038719287,0.8161024565608149,zwickau
19,word_counter,dicitur,117,0.004355919583023083,150,0.004993009786299181,46,0.004643650312941652,0.8724035740878631,0.938037812813623,1.0752338031104278,london
20,word_counter,terra,109,0.0040580789277736415,96,0.003195526263231476,33,0.003331314354936402,1.269925074460164,1.218161510864415,0.9592388837445758,zwickau
21,word_counter,erat,101,0.0037602382725241998,123,0.0040942680247653285,42,0.004239854633555421,0.9184152697818863,0.8868790554196362,0.9656623584125081,london
22,word_counter,etiam,99,0.0036857781087118392,106,0.003528393582318088,54,0.005451241671714113,1.0446051503954819,0.6761355174981385,0.6472642004896848,london
23,word_counter,ut,95,0.003536857781087118,127,0.004227414952399974,42,0.004239854633555421,0.8366478855072378,0.8341931709392617,0.9970660123446223,london
24,word_counter,eius,95,0.003536857781087118,116,0.0038612609014047,38,0.0038360589541691905,0.9159851849949932,0.9220029784065524,1.0065697497188146,london
25,word_counter,quia,94,0.0034996276991809384,94,0.0031289527994141533,26,0.0026246719160104987,1.1184661206254656,1.3333581533879375,1.1921310165767924,zwickau
26,word_counter,tamen,94,0.0034996276991809384,107,0.003561680314226749,20,0.0020189783969311527,0.9825777134466707,1.733365599404319,1.764100259636509,london
27,word_counter,ibi,93,0.003462397617274758,112,0.0037281139737700554,26,0.0026246719160104987,0.928726332305074,1.319173492181683,1.4204114240063912,london
28,word_counter,mare,92,0.003425167535368578,118,0.003927834365222023,36,0.0036341611144760752,0.8720244330300239,0.9424919334822537,1.0808090894969264,london
29,word_counter,autem,92,0.003425167535368578,110,0.003661540509952733,35,0.0035332121946295173,0.9354443917958438,0.9694202744388896,1.036320579759765,london
30,word_counter,fuit,92,0.003425167535368578,106,0.003528393582318088,41,0.004138905713708864,0.9707441801654982,0.8275538928136861,0.8524943128400726,london
31,word_counter,monte,85,0.0031645569620253164,101,0.003361959922774782,41,0.004138905713708864,0.9412833688432135,0.7645878357517751,0.8122823169513899,london
32,word_counter,uero,85,0.0031645569620253164,90,0.0029958058717795086,9,0.0009085402786190188,1.0563291139240507,3.483122362869198,3.297383662871979,london
33,word_counter,ualde,85,0.0031645569620253164,105,0.003495106850409427,30,0.0030284675953967293,0.9054249547920433,1.0449367088607595,1.1540842820051929,london
34,word_counter,leucis,78,0.002903946388682055,77,0.002563078356966913,13,0.0013123359580052493,1.1329916546595622,2.212807148175726,1.9530657080087876,zwickau
35,word_counter,ciuitas,77,0.0028667163067758747,74,0.0024632181612409296,52,0.005249343832020997,1.163809341731903,0.5461094564408041,0.46924305971639707,zwickau
36,word_counter,aut,72,0.002680565897244974,70,0.0023300712336062845,27,0.0027256208358570565,1.1504222955004786,0.9834698436336559,0.8548772459297723,zwickau
