,importance,feature
300,0.0,_angl
301,0.0,_angu
302,0.0,_ani
303,0.0,_anim
304,0.0,_ann
305,0.0,_anne
306,0.0,_anni
307,0.0,_anno
308,0.0,_annu
309,0.0,_ant
310,0.0,_anta
311,0.0,_ante
312,0.0,_anti
313,0.0,_anto
314,0.0,_ap
315,0.0,_apa
316,0.0,_apar
317,0.0,_ape
318,0.0,_aper
319,0.0,_apet
320,0.0,_apo
321,0.0,_apos
322,0.0,_app
323,0.0,_appa
324,0.0,_appe
325,0.0,_appl
326,0.0,_appn
327,0.0,_appo
328,0.0,_appr
329,0.0,_apt
330,0.0,_apta
331,0.0,_apti
332,0.0,_aptu
333,0.0,_apu
334,0.0,_apud
335,0.0,_aq
336,0.0,_aqu
337,0.0,_aqua
338,0.0,_aque
339,0.0,_aqui
340,0.0,_aquo
341,0.0,_ar
342,0.0,_ara
343,0.0,_arab
344,0.0,_arac
345,0.0,_arad
346,0.0,_aram
347,0.0,_aran
348,0.0,_arar
349,0.0,_arat
350,0.0,_arb
351,0.0,_arbo
352,0.0,_arbu
353,0.0,_arc
354,0.0,_arca
355,0.0,_arci
356,0.0,_arcu
357,0.0,_are
358,0.0,_area
359,0.0,_arec
360,0.0,_aren
361,0.0,_ares
362,0.0,_arg
363,0.0,_arge
364,0.0,_argu
365,0.0,_ari
366,0.0,_arid
367,0.0,_arie
368,0.0,_arim
369,0.0,_arm
370,0.0,_arma
371,0.0,_arme
372,0.0,_armi
373,0.0,_armo
374,0.0,_arn
375,0.0,_arno
376,0.0,_aro
377,0.0,_aroc
378,0.0,_arom
379,0.0,_aron
380,0.0,_art
381,0.0,_arte
382,0.0,_arto
383,0.0,_aru
384,0.0,_arui
385,0.0,_arx
386,0.0,_arx_
387,0.0,_as
388,0.0,_asc
389,0.0,_asca
390,0.0,_asce
391,0.0,_asi
392,0.0,_asia
393,0.0,_asim
394,0.0,_asin
395,0.0,_aso
396,0.0,_asor
397,0.0,_asot
398,0.0,_asp
399,0.0,_aspe
400,0.0,_ass
401,0.0,_asse
402,0.0,_assi
403,0.0,_assu
404,0.0,_ast
405,0.0,_asta
406,0.0,_at
407,0.0,_ata
408,0.0,_atam
409,0.0,_ate
410,0.0,_ates
411,0.0,_ati
412,0.0,_atin
413,0.0,_atr
414,0.0,_atri
415,0.0,_atu
416,0.0,_atul
417,0.0,_au
418,0.0,_auc
419,0.0,_auct
420,0.0,_aud
421,0.0,_audi
422,0.0,_aue
423,0.0,_auen
424,0.0,_auer
425,0.0,_aug
426,0.0,_augu
427,0.0,_aui
428,0.0,_aui_
429,0.0,_auib
430,0.0,_auid
431,0.0,_aur
432,0.0,_aure
433,0.0,_auro
434,0.0,_aus
435,0.0,_aust
436,0.0,_aut
437,0.0,_aut_
438,0.0,_auta
439,0.0,_aute
440,0.0,_auti
441,0.0,_auu
442,0.0,_auul
443,0.0,_ax
444,0.0,_axa
445,0.0,_axam
446,0.0025,_b
447,0.0,_ba
448,0.0,_baa
449,0.0,_baal
450,0.0,_baas
451,0.0,_bab
452,0.0,_babi
453,0.0,_bac
454,0.0,_bacu
455,0.0,_bai
456,0.0,_baie
457,0.0,_bail
458,0.0,_bair
459,0.0,_bais
460,0.0,_baiu
461,0.0,_bal
462,0.0,_bald
463,0.0,_bali
464,0.0,_baln
465,0.0,_bals
466,0.0,_bap
467,0.0,_bapt
468,0.0,_bar
469,0.0,_bara
470,0.0,_barb
471,0.0,_barn
472,0.0,_bart
473,0.0,_bas
474,0.0,_basa
475,0.0,_basi
476,0.0,_bat
477,0.0,_bata
478,0.0025,_be
479,0.0,_bea
480,0.0,_beat
481,0.0,_bec
482,0.0,_beca
483,0.0,_bed
484,0.0,_beda
485,0.0,_bee
486,0.0,_beel
487,0.0,_bel
488,0.0,_bele
489,0.0,_belo
490,0.0,_belu
491,0.0,_ben
492,0.0,_bene
493,0.0,_beni
494,0.0,_ber
495,0.0,_beri
496,0.0,_berk
497,0.0,_bero
498,0.0,_bers
499,0.0,_bes
500,0.0,_bese
501,0.0,_best
502,0.0,_bet
503,0.0,_beta
504,0.0,_bete
505,0.0,_betf
506,0.0,_betg
507,0.0,_beti
508,0.0,_betl
509,0.0,_beto
510,0.0,_bets
511,0.0,_betu
512,0.0,_bi
513,0.0,_bib
514,0.0,_bibe
515,0.0,_bibl
516,0.0,_bibu
517,0.0,_bil
518,0.0,_bilu
519,0.0,_bis
520,0.0,_bis_
521,0.0,_bisa
522,0.0,_bl
523,0.0,_bla
524,0.0,_blan
525,0.0,_bo
526,0.0,_bod
527,0.0,_bodo
528,0.0,_bodw
529,0.0,_bon
530,0.0,_bona
531,0.0,_bone
532,0.0,_boni
533,0.0,_bono
534,0.0,_bonu
535,0.0,_bos
536,0.0,_bosr
537,0.0,_bost
538,0.0,_bot
539,0.0,_botr
540,0.0,_botu
541,0.0,_bou
542,0.0,_boue
543,0.0,_br
544,0.0,_bra
545,0.0,_brac
546,0.0,_bre
547,0.0,_breu
548,0.0,_bri
549,0.0,_brig
550,0.0,_bru
551,0.0,_brun
552,0.0,_bu
553,0.0,_bub
554,0.0,_bubu
555,0.0,_buc
556,0.0,_bucc
557,0.0,_bur
558,0.0,_burc
559,0.0,_but
560,0.0,_buti
561,0.0,_c
562,0.0,_c_
563,0.0,_c_l
564,0.0,_c_li
565,0.0005,_ca
566,0.0,_cab
567,0.0,_cabu
568,0.0,_cac
569,0.0,_cacm
570,0.0,_cad
571,0.0,_cada
572,0.0,_cade
573,0.0,_cadi
574,0.0,_cadm
575,0.0,_cadu
576,0.0,_cai
577,0.0,_caip
578,0.0,_cal
579,0.0,_cala
580,0.0,_calc
581,0.0,_cald
582,0.0,_cale
583,0.0,_cali
584,0.0,_calo
585,0.0,_calu
586,0.0,_cam
587,0.0,_cam_
588,0.0,_came
589,0.0,_cami
590,0.0,_camo
591,0.0,_camp
592,0.0,_can
593,0.0,_can_
594,0.0,_cana
595,0.0,_canc
596,0.0,_cand
597,0.0,_cani
598,0.0,_cann
599,0.0,_cano
600,0.0,_cant
601,0.0,_cap
602,0.0,_capa
603,0.0,_capc
604,0.0,_cape
605,0.0,_capi
606,0.0,_capr
607,0.0,_capt
608,0.0,_capu
609,0.0,_car
610,0.0,_care
611,0.0,_cari
612,0.0,_carm
613,0.0,_carn
614,0.0,_cars
615,0.0,_cas
616,0.0,_casa
617,0.0,_cass
618,0.0,_cast
619,0.0,_casu
620,0.0,_cat
621,0.0,_cata
622,0.0,_catm
623,0.0,_cau
624,0.0,_caud
625,0.0,_caue
626,0.0,_caus
627,0.0,_ce
628,0.0,_cec
629,0.0,_ceci
630,0.0,_ced
631,0.0,_ceda
632,0.0,_cede
633,0.0,_cedr
634,0.0,_cei
635,0.0,_ceil
636,0.0,_cel
637,0.0,_cela
638,0.0,_cele
639,0.0,_celi
640,0.0,_celo
641,0.0,_celu
642,0.0,_cen
643,0.0,_cena
644,0.0,_cene
645,0.0,_cens
646,0.0,_cent
647,0.0,_cep
648,0.0,_cepe
649,0.0,_cepi
650,0.0,_cer
651,0.0,_cera
652,0.0,_cere
653,0.0,_cern
654,0.0,_cert
655,0.0,_ceru
656,0.0,_ces
657,0.0,_cesa
658,0.0,_cesp
659,0.0,_cess
660,0.0,_cet
661,0.0,_cete
662,0.0,_ci
663,0.0,_cib
664,0.0,_ciba
665,0.0,_cibi
666,0.0,_cibo
667,0.0,_cibu
668,0.0,_cil
669,0.0,_cila
670,0.0,_cili
671,0.0,_cin
672,0.0,_cinc
673,0.0,_cine
674,0.0,_cing
675,0.0,_cip
676,0.0,_cipa
677,0.0,_cipe
678,0.0,_cipr
679,0.0,_cir
680,0.0,_circ
681,0.0,_cire
682,0.0,_ciri
683,0.0,_cis
684,0.0,_ciso
685,0.0,_cist
686,0.0,_cit
687,0.0,_cito
688,0.0,_citr
689,0.0,_ciu
690,0.0,_ciue
691,0.0,_ciui
692,0.0,_cl
693,0.0,_cla
694,0.0,_clam
695,0.0,_clan
696,0.0,_clau
697,0.0,_cle
698,0.0,_clem
699,0.0,_cler
700,0.0,_cli
701,0.0,_clib
702,0.0,_clip
703,0.002,_co
704,0.0,_coc
705,0.0,_coco
706,0.0,_cod
707,0.0,_codo
708,0.0,_cog
709,0.0,_cogi
710,0.0,_cogn
711,0.0,_coh
712,0.0,_cohi
713,0.0,_col
714,0.0,_cola
715,0.0,_cole
716,0.0,_coli
717,0.0,_colo
718,0.0,_colt
719,0.0,_colu
720,0.0,_com
721,0.0,_comb
722,0.0,_come
723,0.0,_comi
724,0.0,_como
725,0.0,_comp
726,0.0,_comu
727,0.0,_con
728,0.0,_conc
729,0.0,_cond
730,0.0,_conf
731,0.0,_cong
732,0.0,_coni
733,0.0,_conp
734,0.0,_conq
735,0.0,_cons
736,0.0,_cont
737,0.0,_conu
738,0.0,_coo
739,0.0,_coop
740,0.0,_cop
741,0.0,_copi
742,0.0,_coq
743,0.0,_coqu
744,0.0005,_cor
745,0.0,_cora
746,0.0,_cord
747,0.0,_cori
748,0.0,_corn
749,0.0,_coro
750,0.0,_corp
751,0.0,_corr
752,0.0,_coru
753,0.0,_cos
754,0.0,_cosd
755,0.0,_cosm
756,0.0,_cot
757,0.0,_coti
758,0.0,_cr
759,0.0,_cra
760,0.0,_cras
761,0.0,_cre
762,0.0,_cred
763,0.0,_cres
764,0.0,_cri
765,0.0,_crim
766,0.0,_crip
767,0.0,_cris
768,0.0,_cro
769,0.0,_croc
770,0.0,_cron
771,0.0,_cru
772,0.0,_cruc
773,0.0,_crud
774,0.0,_crur
775,0.0,_crux
776,0.0,_cu
777,0.0,_cub
778,0.0,_cubi
779,0.0,_cuc
780,0.0,_cucu
781,0.0,_cui
782,0.0,_cui_
783,0.0,_cuid
784,0.0,_cuiq
785,0.0,_cuiu
786,0.0,_cul
787,0.0,_cult
788,0.0,_cum
789,0.0,_cum_
790,0.0,_cumu
791,0.0,_cup
792,0.0,_cupi
793,0.0,_cupr
794,0.0,_cur
795,0.0,_curi
796,0.0,_curk
797,0.0,_curr
798,0.0,_curs
799,0.0,_curu
800,0.0,_cus
801,0.0,_cust
802,0.002,_d
803,0.0,_da
804,0.0,_dab
805,0.0,_dabi
806,0.0,_dam
807,0.0,_dama
808,0.0,_dami
809,0.0,_damp
810,0.0,_dan
811,0.0,_dan_
812,0.0,_dat
813,0.0,_data
814,0.0,_dau
815,0.0,_daui
816,0.003,_de
817,0.002,_de_
818,0.0,_de_a
819,0.0,_de_b
820,0.0,_de_c
821,0.0,_de_d
822,0.0,_de_e
823,0.0,_de_f
824,0.0,_de_g
825,0.0,_de_h
826,0.0,_de_i
827,0.0,_de_l
828,0.0,_de_m
829,0.0,_de_n
830,0.0,_de_o
831,0.0,_de_p
832,0.0,_de_q
833,0.0,_de_r
834,0.0,_de_s
835,0.0,_de_t
836,0.0,_de_u
837,0.0,_dea
838,0.0,_deam
839,0.0,_deb
840,0.0,_debe
841,0.0,_debi
842,0.0,_dec
843,0.0,_deca
844,0.0,_dece
845,0.0,_deci
846,0.0,_decl
847,0.0,_deco
848,0.0,_decr
849,0.0,_decu
850,0.0,_ded
851,0.0,_dedi
852,0.0,_dedu
853,0.0,_def
854,0.0,_defe
855,0.0,_defi
856,0.0,_defl
857,0.0,_defu
858,0.0,_dei
859,0.0,_dei_
860,0.0,_dein
861,0.0,_del
862,0.0,_delb
863,0.0,_dele
864,0.0,_deli
865,0.0,_delt
866,0.0,_dem
867,0.0,_deme
868,0.0,_demo
869,0.0,_den
870,0.0,_deni
871,0.0,_deo
872,0.0,_deo_
873,0.0,_dep
874,0.0,_depe
875,0.0,_depi
876,0.0,_depo
877,0.0,_depr
878,0.0,_der
879,0.0,_dere
880,0.001,_des
881,0.0,_desc
882,0.0,_dese
883,0.0,_desi
884,0.0,_dest
885,0.0,_desu
886,0.0,_det
