,before,after
0,(1r),
1,Liber,liber
2,de,de
3,Terra,terra
4,Sancta.,sancta
5,Cum,cum
6,in,in
7,veteribus,ueteribus
8,hystoriis,historiis
9,"legamus,",legamus
10,sicut,sicut
11,dicit,dicit
12,beatus,beatus
13,"Ieronimus,",ieronimus
14,quosdam,quosdam
15,lustrasse,lustrasse
16,"provincias,",prouintias
17,maria,maria
18,"transfretasse,",transfretasse
19,ut,ut
20,ea,ea
21,que,que
22,ex,ex
23,libris,libris
24,noverant,nouerant
25,coram,coram
26,positi,positi
27,"viderent,",uiderent
28,Plato,plato
29,Menphiticos,menpiticos
30,vates,uates
31,et,et
32,"Egyptum,",egiptum
33,Apollonius,apolonius
34,qui,qui
35,Persas,persas
36,"intravit,",intrauit
37,transivit,transiuit
38,"Caucasum,",caucasum
39,Albanos,albanos
40,Scithas,scitas
41,Massagethas,massagetas
42,Indiam,indiam
43,Bragmanos,bragmanos
44,"quoque,",quoque
45,Yartham,iartam
46,videret,uideret
47,tandem,tandem
48,Egyptum,egiptum
49,intravit,intrauit
50,famosam,famosam
51,mensam,mensam
52,solis,solis
53,sabulo.,sabulo
54,Quid,quid
55,mirum,mirum
56,si,si
57,Christiani,cristiani
58,terram,terram
59,illam,ilam
60,quam,quam
61,Christi,cristi
62,sonant,sonant
63,ecclesie,ecclesie
64,universe,uniuerse
65,videre,uidere
66,visitare,uisitare
67,desiderant?,desiderant
68,Vanerabantur,uanerabantur
69,antiqui,antiqui
70,sancta,sancta
71,sanctorum,sanctorum
72,quia,quia
73,ibi,ibi
74,erat,erat
75,archa,arca
76,testamenti,testamenti
77,cherubin,cerubin
78,cum,cum
79,propiciatorio,propitiatorio
80,manna,manna
81,virga,uirga
82,Aaron,aaron
83,fronduerat,fronduerat
84,omnia,omnia
85,erant,erant
86,umbra,umbra
87,futuri.,futuri
88,Nonne,nonne
89,aput,aput
90,nos,nos
91,venerabilis,uenerabilis
92,est,est
93,sepulchrum,sepulcrum
94,dulcis,dulcis
95,Ihesu,iesu
96,quod,quod
97,quociens,quociens
98,quis,quis
99,ingreditur,ingreditur
100,tociens,tociens
101,involutum,inuolutum
102,syndone,sindone
103,mentis,mentis
104,videt,uidet
105,oculis,oculis
106,salvatorem,saluatorem
107,paululum,paululum
108,procedens,procedens
109,lapidem,lapidem
110,revolutum,reuolutum
111,angelum,angelum
112,eo,eo
113,sedentem,sedentem
114,sudarium,sudarium
115,lintheaminibus,linteaminibus
116,mulieribus,mulieribus
117,ostendentem.,ostendentem
118,Quis,quis
119,Christianus,cristianus
120,hiis,hiis
121,visis,uisis
122,non,non
123,festinet,festinet
124,venire,uenire
125,"Bethleem,",betleem
126,contemplans,contemplans
127,puerum,puerum
128,presepio,presepio
129,"vagientem,",uagientem
130,Mariam,mariam
131,diversorio,diuersorio
132,sub,sub
133,rupe,rupe
134,"concava,",concaua
135,usque,usque
136,hodie,hodie
137,"cernitur,",cernitur
138,"parientem,",parientem
139,angelos,angelos
140,presentibus,presentibus
141,pastoribus,pastoribus
142,gloriam,gloriam
143,Deo,deo
144,pacem,pacem
145,hominibus,hominibus
146,"decantantes,",decantantes
147,"et,",et
148,amplius,amplius
149,mirandum,mirandum
150,"est,",est
151,quomodo,quomodo
152,tres,tres
153,illi,ili
154,magi,magi
155,maiestate,maiestate
156,preclari,preclari
157,ante,ante
158,presepium,presepium
159,proni,proni
160,ruant,ruant
161,habens,habens
162,tectum,tectum
163,desuper,desuper
164,nisi,nisi
165,rupem,rupem
166,dependentem.,dependentem
167,Redeat,redeat
168,post,post
169,hec,hec
170,Ierusalem,ierusalem
171,videat,uideat
172,audiat,audiat
173,templo,templo
174,Ihesum,iesum
175,"predicantem,",predicantem
176,Monte,monte
177,Oliveti,oliueti
178,discipulos,discipulos
179,"instruentem,",instruentem
180,Syon,sion
181,"cenantem,",cenantem
182,discipulorum,discipulorum
183,pedes,pedes
184,"lavantem,",lauantem
185,corpus,corpus
186,suum,suum
187,sanguinem,sanguinem
188,"tradentem,",tradentem
189,Gethsemani,getsemani
190,orantem,orantem
191,sudore,sudore
192,sanguineo,sanguineo
193,"defluentem,",defluentem
194,traditorem,traditorem
195,"osculantem,",osculantem
196,captum,captum
197,"trahi,",trahi
198,"illudi,",iludi
199,"conspui,",conspui
200,"iudicatum,",iudicatum
201,crucem,crucem
202,"baiulantem,",baiulantem
203,pondere,pondere
204,crucis,crucis
205,porta,porta
206,civitatis,ciuitatis
207,cernitur,cernitur
208,"deficientem,",deficientem
209,Cyreneum,cireneum
210,Symonem,simonem
211,"succendentem,",succendentem
212,Calvaria,caluaria
213,pro,pro
214,nobis,nobis
215,passionis,passionis
216,mysteria,misteria
217,celebrantem.,celebrantem
218,Horum,horum
219,omnium,omnium
220,locorum,locorum
221,singulorum,singulorum
222,adhuc,adhuc
223,ita,ita
224,plana,plana
225,manifesta,manifesta
226,exstat,exstat
227,memoria,memoria
228,(1v),
229,illo,ilo
230,die,die
231,exstitit,exstitit
232,quando,quando
233,presencialiter,presentialiter
234,facta.,facta
235,Certe,certe
236,hac,hac
237,civitate,ciuitate
238,tot,tot
239,sunt,sunt
240,dominice,dominice
241,sanctis,sanctis
242,loca,loca
243,insignia,insignia
244,nullo,nulo
245,modo,modo
246,sufficit,suficit
247,dies,dies
248,ad,ad
249,singula,singula
250,utiliter,utiliter
251,perlustranda.,perlustranda
252,Sunt,sunt
253,preterea,preterea
254,quedam,quedam
255,locis,locis
256,illis,ilis
257,devocionem,deuotionem
258,augent,augent
259,ampliorem.,ampliorem
260,enim,enim
261,enarrare,enarrare
262,sufficiat,sufitiat
263,quot,quot
264,"monachi,",monaci
265,moniales,moniales
266,"Georgia,",georgia
267,Armenia,armenia
268,maiore,maiore
269,"minore,",minore
270,"Caldea,",caldea
271,"Syria,",siria
272,"Media,",media
273,"Persya,",persia
274,"India,",india
275,"Ethyopia,",etiopia
276,"Nubia,",nubia
277,"Nabenia,",nabenia
278,Maromea,maromea
279,"Jacobite,",iacobite
280,"Nestoriani,",nestoriani
281,"Greci,",greci
282,Syri,siri
283,aliarum,aliarum
284,nacionum,nationum
285,nunc,nunc
286,"turmatim,",turmatim
287,"centeni,",centeni
288,ducenteni,ducenteni
289,plus,plus
290,minus,minus
291,discurrentes,discurrentes
292,per,per
293,spiritu,spiritu
294,"vehementi,",uehementi
295,osculantur,osculantur
296,"terram,",terram
297,venerantur,uenerantur
298,quibus,quibus
299,dulcem,dulcem
300,"sedisse,",sedisse
301,stetisse,stetisse
302,vel,aut
303,fecisse,fecisse
304,quimpiam,quimpiam
305,operis,operis
306,"audierunt,",audierunt
307,tundunt,tundunt
308,pectus,pectus
309,"fletus,",fletus
310,"gemitus,",gemitus
311,suspiria,suspiria
312,"emittentes,",emitentes
313,gestu,gestu
314,corporis,corporis
315,"devotionis,",deuotionis
316,foris,foris
317,ostendunt,ostendunt
318,absque,absque
319,dubio,dubio
320,intus,intus
321,habent.,habent
322,In,in
323,lacrimas,lacrimas
324,provocant,prouocant
325,plerumque,plerumque
326,eciam,etiam
327,Sarracenos.,sarracenos
328,Eia,eia
329,domine,domine
330,"Deus,",deus
331,video,uideo
332,secundum,secundum
333,veteres,ueteres
334,hystorias,historias
335,Abraham,abraham
336,domumque,domumque
337,patris,patris
338,cognationem,cognationem
339,"dereliquentem,",dereliquentem
340,hanc,hanc
341,"festinantem,",festinantem
342,inter,inter
343,Bethel,betel
344,Hay,hai
345,tabernaculum,tabernaculum
346,"figentem,",figentem
347,"Geraris,",geraris
348,Bersabee,bersabee
349,Ebron,ebron
350,commorantem.,comorantem
351,Video,uideo
352,Ezechielem,esecielem
353,deserentem,deserentem
354,flumina,flumina
355,"Babylonis,",babilonis
356,veniat,ueniat
357,celum,celum
358,capillo,capilo
359,capitis,capitis
360,portatum,portatum
361,illuc,iluc
362,transvolantem.,transuolantem
363,dicam,dicam
364,Virgine,uirgine
365,"gloriosa,",gloriosa
366,"que,",que
367,postquam,postquam
368,eam,eam
369,angelica,angelica
370,facta,facta
371,"promissio,",promissio
372,licet,licet
373,sciret,sciret
374,uterum,uterum
375,Dei,dei
376,"factum,",factum
377,contenta,contenta
378,spaciosis,spatiosis
379,speciosis,spetiosis
380,campestribus,campestribus
381,"Galilee,",galilee
382,sed,sed
383,statim,statim
384,festinatione,festinatione
385,montana,montana
386,Iudee,iudee
387,"conscendit,",conscendit
388,volens,uolens
389,sanctuaribus,sanctuaribus
390,propinquare?,propinquare
391,patriarcha,patriarca
392,"lacob,",lacob
393,Iosep,iosep
394,fratribus,fratribus
395,eius,eius
396,"dicam,",dicam
397,vivi,uiui
398,terra,terra
399,ista,ista
400,esse,esse
401,poterant,poterant
402,elegerunt,elegerunt
403,mortui,mortui
404,sepeliri?,sepeliri
405,plura,plura
406,ingemiscere,ingemiscere
407,possumus,possumus
408,nostri,nostri
409,temporis,temporis
410,populi,populi
411,tanta,tanta
412,tantorum,tantorum
413,habentes,habentes
414,exempla,exempla
415,tardi,tardi
416,sumus,sumus
417,manibus,manibus
418,inimicorum,inimicorum
419,eruere,eruere
420,consecravit,consecrauit
421,suo,suo
422,sanguine,sanguine
423,Ihesus,iesus
424,"Christus,",cristus
425,cotidie,cotidie
426,resonat,resonat
427,(2r),
428,ecclesia,ecclesia
429,universa.,uniuersa
430,Quem,quem
431,hora,hora
432,diei,diei
433,noctis,noctis
434,totum,totum
435,anni,anni
436,circulum,circulum
437,qua,qua
438,recolit,recolit
439,cantando,cantando
440,legendo,legendo
441,psallendo,psalendo
442,predicando,predicando
443,meditando,meditando
444,omnis,omnis
445,devotus,deuotus
446,scripta,scripta
447,civitatibus,ciuitatibus
448,eius.,eius
449,Verum,uerum
450,ego,ego
451,Burchardus,burcardus
452,ordinis,ordinis
453,predicatorum,predicatorum
454,videns,uidens
455,affici,afici
456,desiderio,desiderio
457,saltem,saltem
458,aliqualiter,aliqualiter
459,ymaginari,imaginari
460,possunt,possunt
461,presentialiter,presentialiter
462,"intueri,",intueri
463,cupiens,cupiens
464,eorum,eorum
465,satisfacere,satisfacere
466,quantum,quantum
467,"possum,",possum
468,ipsam,ipsam
469,pedibus,pedibus
470,meis,meis
471,pluries,pluries
472,"pertransivi,",pertransiui
473,potui,potui
474,consideravi,consideraui
475,notavi,notaui
476,diligenter,diligenter
477,studiose,studiose
478,"descripsi,",descripsi
479,lectorem,lectorem
480,scire,scire
481,nichil,nicil
482,descriptione,descriptione
483,posui,posui
484,ipsis,ipsis
485,existens,existens
486,"vidi,",uidi
487,stans,stans
488,montibus,montibus
489,aliquibus,aliquibus
490,aliis,aliis
491,"oportunis,",oportunis
492,ubi,ubi
493,accessum,accessum
494,habere,habere
495,"potui,",potui
496,a,a
497,Surianis,surianis
498,Sarracenis,sarracenis
499,aut,aut
500,terre,terre
501,ipsius,ipsius
502,habitatoribus,habitatoribus
503,diligentissime,diligentissime
504,querebam,querebam
505,interrogans,interrogans
506,annotavi.,annotaui
507,Totam,totam
508,Dan,dan
509,"Bersabee,",bersabee
510,Mari,mari
511,Mortuo,mortuo
512,Mare,mare
513,"Magnum,",magnum
514,"termini,",termini
515,"pedibus,",pedibus
516,dictum,dictum
517,"perambulavi,",perambulaui
518,"oculis,",oculis
519,"non,",non
520,consideravi.Advertens,considerauiaduertens
521,autem,autem
522,possem,possem
523,describere,describere
524,possent,possent
525,legentibus,legentibus
526,ymaginatione,imaginatione
527,facili,facili
528,"conprehendi,",conprehendi
529,cogitavi,cogitaui
530,centrum,centrum
531,aliquod,aliquod
532,"ponere,",ponere
533,circa,circa
534,illud,ilud
535,totam,totam
536,debito,debito
537,"ordinare,",ordinare
538,hoc,hoc
539,elegi,elegi
540,civitatem,ciuitatem
541,Acconen[sem],acconensem
542,tamquam,tamquam
543,nominatam.,nominatam
544,Que,que
545,tamen,tamen
546,"medio,",medio
547,occidentali,occidentali
548,"fine,",fine
549,supra,supra
550,mare,mare
551,sita.,sita
552,Et,et
553,ab,ab
554,ipsa,ipsa
555,protraxi,protraxi
556,quatuor,quatuor
557,"lineas,",lineas
558,mundi,mundi
559,partibus,partibus
560,"respondents,",respondents
561,quamlibet,quamlibet
562,quartam,quartam
563,divisi,diuisi
564,"tria,",tria
565,responderent,responderent
566,duodecim,duodecim
567,divisiones,diuisiones
568,iste,iste
569,12,
570,ventis,uentis
571,celi.,celi
572,singulis,singulis
573,divisionibus,diuisionibus
574,civitates,ciuitates
575,scripturis,scripturis
576,magis,magis
577,"nota,",nota
578,situs,situs
579,dispositio,dispositio
580,posset,posset
581,"reperiri,",reperiri
582,partem,partem
583,esset,esset
584,collocata.,colocata
585,Descripcio,descriptio
586,Terre,terre
587,Sancte,sancte
588,Sciendum,sciendum
589,principio,principio
590,"ista,",ista
591,sanctam,sanctam
592,"dicimus,",dicimus
593,cecidit,cecidit
594,sortem,sortem
595,tribuum,tribuum
596,"Israel,",isrel
597,parte,parte
598,aliqua,aliqua
599,dicebatur,dicebatur
600,regnum,regnum
601,"Iudee,",iudee
602,duarum,duarum
603,scilicet,scilicet
604,Iude,iude
605,(2v),
606,"Beniamin,",beniamin
607,altera,altera
608,Samarie,samarie
609,"scilicet,",scilicet
610,Sebaste,sebaste
611,"dicitur,",dicitur
612,caput,caput
613,10,
614,"reliquarum,",reliquarum
615,Israel,isrel
616,dicebantur.,dicebantur
617,Utrumque,utrumque
618,istud,istud
619,tota,tota
620,Phylistiim,pilistiim
621,Palestina.,palestina
622,pars,pars
623,Syrie,sirie
624,Saxonia,saxonia
625,Francia,frantia
626,partes,partes
627,"Teutonie,",teutonie
628,Lambardia,lambardia
629,Tuscia,tustia
630,Ytalie.,italie
631,Ad,ad
632,plenius,plenius
633,intelligendum,inteligendum
634,nota,nota
635,plures,plures
636,diversis,diuersis
637,nominibus,nominibus
638,nuncupate.,nuncupate
639,Tota,tota
640,Tygride,tigride
641,fluvio,fluuio
642,generaliter,generaliter
643,Syria,siria
644,nuncupatur.,nuncupatur
645,Pars,pars
646,prima,prima
647,fluvios,fluuios
648,Eufraten,eufraten
649,Tygrum,tigrum
650,protenditur,protenditur
651,longum,longum
652,aquilone,aquilone
653,"austrum,",austrum
654,monte,monte
655,Tauro,tauro
656,Rubrum,rubrum
657,appellatur,appelatur
658,Mesopotamia,mesopotamia
659,"Syrie,",sirie
660,quasi,quasi
661,media,media
662,"aquas,",aquas
663,habet,habet
664,gentes,gentes
665,"multas,",multas
666,"Partos,",partos
667,Medos.,medos
668,Quibus,quibus
669,austro,austro
670,coniungitur,coniungitur
671,Caldea,caldea
672,"Babilonia,",babilonia
673,ytidem,itidem
674,adiacet,adiacet
675,Arabia,arabia
676,Sinus,sinus
677,Arabicus,arabicus
678,dicitur.,dicitur
679,Prima,prima
680,totius,tocius
681,huius,huius
682,"Mesopotamie,",mesopotamie
683,aquilonem,aquilonem
684,"respicit,",respicit
685,civitas,ciuitas
686,Edissa,edissa
687,antiquitus,antiquitus
688,"Rages,",rages
689,Rase,rase
690,specialiter,spetialiter
691,Mesopothamia,mesopotamia
692,nuncupatur,nuncupatur
693,Prima.,prima
694,Secunda,secunda
695,Celes,celes
696,incipit,incipit
697,flumine,flumine
698,Eufrate,eufrate
699,terminatur,terminatur
700,rivo,riuo
701,"Valanie,",ualanie
702,fluit,fluit
703,castro,castro
704,"Margad,",margad
705,cadit,cadit
706,Magnum,magnum
707,villa,uila
708,sedes,sedes
709,episcopalis,episcopalis
710,1,
711,leucam,leucam
712,predicto,predicto
713,distante.,distante
714,Antyochia,antiocia
715,urbibus,urbibus
716,suis,suis
717,"suffraganeis,",sufraganeis
718,"Laodicia,",laoditia
719,Apamia,apamia
720,multis.Tertia,multistertia
721,Phenicis,penicis
722,Valamie,ualamie
723,extenditur,extenditur
724,versus,uersus
725,austrum,austrum
726,Petram,petram
727,Incisam,incisam
728,sive,siue
729,Districtum,districtum
730,Carmelo.,carmelo
731,Qui,qui
732,locus,locus
733,Castrum,castrum
734,Peregrinorum,peregrinorum
735,dicitur,dicitur
736,milicie,milicie
737,templum.,templum
738,"multe,",multe
739,"Anteradum,",anteradum
740,"Tripolis,",tripolis
741,"Bericum,",bericum
742,"Sydon,",sidon
743,"Tyrus,",tirus
744,Accon,accon
745,"Capharnaum,",caparnaum
746,"Phenice,",penice
747,filio,filio
748,Agenoris,agenoris
749,fratre,fratre
750,"Cathmi,",catmi
751,Tyrum,tirum
752,"instauravit,",instaurauit
753,metropolim,metropolim
754,constituit,constituit
755,nomine,nomine
756,appellavit.,appelauit
757,Quarta,quarta
758,(3r),
759,Damasci,damasci
760,"Damascus,",damascus
761,metropolis.,metropolis
762,Hec,hec
763,predicte,predicte
764,tercie,tercie
765,oriente,oriente
766,coniungitur.,coniungitur
767,Dicitur,dicitur
768,quarta,quarta
769,etiam,etiam
770,"Lybanica,",libanica
771,mons,mons
772,Lybani,libani
773,preclarus,preclarus
774,habetur.,habetur
775,Post,post
776,istam,istam
777,Syriam,siriam
778,sequitur,sequitur
779,Palestina,palestina
780,Philistiim,pilistiim
781,proprie,proprie
782,Unde,unde
783,"Palestine,",palestine
784,omnes,omnes
785,magne,magne
786,partes.,partes
787,cuius,cuius
788,metropolis,metropolis
789,"Ierusalem,",ierusalem
790,omnibus,omnibus
791,montanis,montanis
792,"suis,",suis
793,Mortuum,mortuum
794,desertum,desertum
795,Cades,cades
796,Barne.,barne
797,Cesarea,cesarea
798,Palestine,palestine
799,Maritima,maritima
800,"Philistiim,",pilistiim
801,incipiens,incipiens
802,predicta,predicta
803,Petra,petra
804,Incisa,incisa
805,Castro,castro
806,se,se
807,extendens,extendens
808,Gazam,gasam
809,contra,contra
810,austrum.,austrum
811,Tertia,tertia
812,"Bethsan,",betsan
813,sita,sita
814,Gelboe,gelboe
815,iuxta,iuxta
816,Iordanem.,iordanem
817,quondam,quondam
818,Scitopolis,scitopolis
819,dicebatur.,dicebatur
820,Ista,ista
821,Galilea,galilea
822,Campus,campus
823,Magnus,magnus
824,Esdrelon.,esdrelon
825,<aril>,aril
826,Arabie,arabie
827,similiter,similiter
828,maioris,maioris
829,"Bostron,",bostron
830,Busereth,buseret
831,olim,olim
832,Bosrha,bosrha
833,Huic,huic
834,Traconitis,traconitis
835,regio,regio
836,Ythurea,iturea
837,"occidente,",occidente
838,Damascus,damascus
839,vero,uero
840,fere,fere
841,"aquilone,",aquilone
842,ob,ob
843,causam,causam
844,aliquociens,aliquociens
845,vocatur.,uocatur
846,Aretha,areta
847,rei,rei
848,veritate,ueritate
849,rex,rex
850,Damasci.,damasci
851,"civitas,",ciuitas
852,Rabach,rabac
853,"dicta,",dicta
854,deinde,deinde
855,"Areopolis,",areopolis
856,libro,libro
857,numeri,numeri
858,vocatur,uocatur
859,"Ar,",ar
860,Arnen,arnen
861,filiorum,filiorum
862,Amon,amon
863,Ar,ar
864,fuerit,fuerit
865,Moab.,moab
866,Item,item
867,fuit,fuit
868,regno,regno
869,Seon,seon
870,regis,regis
871,Esebon,esebon
872,includebat,includebat
873,Og,og
874,Basan,basan
875,Montem,montem
876,Galaad,galaad
877,prime,prime
878,australi.,australi
879,Mons,mons
880,Regalis,regalis
881,Krach,krac
882,Deserti,deserti
883,"dicebatur,",dicebatur
884,super,super
885,continet,continet
886,"Moab,",moab
887,Sobal,sobal
888,Ydumeam,idumeam
889,Seyr,seir
890,Barne,barne
891,Asasonthamar,asasontamar
892,Aquas,aquas
893,Contradictionis,contradictionis
894,(3v),
895,latissimas,latissimas
896,solitudines,solitudines
897,flumen,flumen
898,Eufratem.,eufratem
899,magna,magna
900,"Melcha,",melca
901,sepultura,sepultura
902,detestabilis,detestabilis
903,Machumeti.,macumeti
904,Hucusque,hucusque
905,situ,situ
906,terrarum,terrarum
907,adiacentium,adiacencium
908,dicta,dicta
909,sufficient.,suficient
910,maiori,maiori
911,dictis,dictis
912,domini,domini
913,Jacobi,iacobi
914,"Vitriaco,",uitriaco
915,sancte,sancte
916,romane,romane
917,legati,legati
918,"Sancta,",sancta
919,quamquam,quamquam
920,plurima,plurima
921,"viderim,",uiderim
922,assumpta.,assumpta
923,Ceterum,ceterum
924,particularem,particularem
925,descriptionem,descriptionem
926,"terre,",terre
927,possessionem,possessionem
928,decem,decem
929,"cessit,",cessit
930,stilum,stilum
931,vertamus.,uertamus
932,divisio,diuisio
933,igitur,igitur
934,primo,primo
935,Terram,terram
936,Sanctam,sanctam
937,4,
938,divisi.,diuisi
939,respondent,respondent
940,plagis,plagis
941,"celi,",celi
942,"orienti,",orienti
943,"occidenti,",occidenti
944,meridiei,meridiei
945,"septentrioni,",septentrioni
946,occidentalis,occidentalis
947,respiciat,respitiat
948,austri,austri
949,aquilonis,aquilonis
950,ille,ile
951,collaterales,colaterales
952,occidenti.,occidenti
953,incipiam,incipiam
954,directa,directa
955,linea,linea
956,"Acconensi,",acconensi
957,Ptolomayda,ptolomaida
958,procedendo,procedendo
959,litore,litore
960,Magni,magni
961,Maris,maris
962,sita.Primum,sitaprimum
963,descriptionis,descriptionis
964,initium,inicium
965,sumitur,sumitur
966,Acconensi,acconensi
967,directam,directam
968,lineam,lineam
969,inde,inde
970,alias,alias
971,sequentes,sequentes
972,loco,loco
973,dicetur.,dicetur
974,numquam,numquam
975,Sancta,sancta
976,nec,nec
977,filiis,filiis
978,"possessa,",possessa
979,ditributione,ditributione
980,tribui,tribui
981,Asser,asser
982,"assignata,",assignata
983,Asserite,asserite
984,possiderunt,possiderunt
985,eam.,eam
986,Est,est
987,provintia,prouintia
988,"sita,",sita
989,Carmelum,carmelum
990,"leucas,",leucas
991,Caypham,caipam
992,pedem,pedem
993,montis,montis
994,eiusdem,eiusdem
995,ultra,ultra
996,torrentem,torrentem
997,"Cyson,",cison
998,Helyas,helias
999,propheta,propeta
1000,sacerdotes,sacerdotes
1001,Baal,baal
1002,interfecit.,interfecit
1003,Phenicia,penitia
1004,3,
1005,"Incysam,",incisam
1006,terminus,terminus
1007,austrum.Accon,austrumaccon
1008,munitam,munitam
1009,valde,ualde
1010,"muris,",muris
1011,"antemuralibus,",antemuralibus
1012,turribus,turribus
1013,fossatis,fossatis
1014,barbicanis,barbicanis
1015,"fortissimis,",fortissimis
1016,triangulam,triangulam
1017,(4r),
1018,formam,formam
1019,"clypeus,",clipeus
1020,due,due
1021,cinguntur,cinguntur
1022,"Magno,",magno
1023,tertia,tertia
1024,campum,campum
1025,"circumdat,",circumdat
1026,leucas,leucas
1027,2,
1028,latitudinis,latitudinis
1029,"aliquibus,",aliquibus
1030,"minus,",minus
1031,fertilis,fertilis
1032,tam,tam
1033,agris,agris
1034,pascuis,pascuis
1035,vineis,uineis
1036,ortis,ortis
1037,diversi,diuersi
1038,generis,generis
1039,fructus,fructus
1040,crescunt.,crescunt
1041,munita,munita
1042,multa,multa
1043,militia,militia
1044,Hospitalis,hospitalis
1045,Templi,templi
1046,Domus,domus
1047,Teutonice,teutonice
1048,castris,castris
1049,Arcis,arcis
1050,"civitatis,",ciuitatis
1051,regem,regem
1052,"pertinent,",pertinent
1053,portum,portum
1054,bonum,bonum
1055,capacem,capacem
1056,navibus,nauibus
1057,collocandis.,colocandis
1058,Inde,inde
1059,casale,casale
1060,Lamperti,lamperti
1061,"mare,",mare
1062,yardinis,iardinis
1063,aquis,aquis
1064,fluvialibus,fluuialibus
1065,"habundans,",habundans
1066,Saron,saron
1067,constitutum.,constitutum
1068,transacto,transacto
1069,castrum,castrum
1070,"Sandalion,",sandalion
1071,Alexander,alexander
1072,obsidens,obsidens
1073,"construxisse,",construxisse
1074,Baldwinus,baldwinus
1075,denuo,denuo
1076,quibusdam,quibusdam
1077,nobilibus,nobilibus
1078,cognominantur,cognominantur
1079,tradidit,tradidit
1080,possidendum.,possidendum
1081,Habundat,habundat
1082,"pratis,",pratis
1083,"pascuis,",pascuis
1084,"ficetis,",ficetis
1085,"olivetis,",oliuetis
1086,"vineis,",uineis
1087,fluminibus,fluminibus
1088,iardinis.,iardinis
1089,modico,modico
1090,puteus,puteus
1091,admirabilis,admirabilis
1092,aquarum,aquarum
1093,viventium,uiuencium
1094,viam,uiam
1095,euntibus,euntibus
1096,iacere,iacere
1097,potest,potest
1098,arcus.,arcus
1099,Cuius,cuius
1100,"aque,",aque
1101,"canticis,",canticis
1102,fluunt,fluunt
1103,impetu,impetu
1104,Lybano.,libano
1105,Quamvis,quamuis
1106,singulariter,singulariter
1107,dicatur,dicatur
1108,"puteus,",puteus
1109,dispositionis,dispositionis
1110,disparis,disparis
1111,quantitatis.,quantitatis
1112,Unus,unus
1113,"enim,",enim
1114,precipuus,precipuus
1115,40,
1116,cubitos,cubitos
1117,longitudinis,longitudinis
1118,"latitudinis,",latitudinis
1119,me,me
1120,"mensuravi,",mensuraui
1121,"quadratus,",quadratus
1122,alii,alii
1123,24.,
1124,Omnes,omnes
1125,muris,muris
1126,fortissimis,fortissimis
1127,lapidibus,lapidibus
1128,durissimis,durissimis
1129,opere,opere
1130,insolubili,insolubili
1131,altitudinem,altitudinem
1132,haste,haste
1133,circumdati.,circumdati
1134,colligitur,coligitur
1135,aqua,aqua
1136,exaltatur,exaltatur
1137,omnem,omnem
1138,defluit,defluit
1139,muros.,muros
1140,nichilominus,nicilominus
1141,aqueductus,aqueductus
1142,facti,facti
1143,rivos,riuos
1144,descendentes,descendentes
1145,tante,tante
1146,profunditatis,profunditatis
1147,quanta,quanta
1148,statura,statura
1149,unius,unius
1150,"hominis,",hominis
1151,memetipsum,memetipsum
1152,expertus,expertus
1153,"sum,",sum
1154,mittens,mitens
1155,canalem,canalem
1156,quem,quem
1157,aqua.,aqua
1158,Deducuntur,deducuntur
1159,aque,aque
1160,planiciem,planiciem
1161,Tyri,tiri
1162,rigantur,rigantur
1163,"iardini,",iardini
1164,"orti,",orti
1165,"vinee,",uinee
1166,"calamelle,",calamele
1167,quantitate,quantitate
1168,crescunt,crescunt
1169,ibidem.,ibidem
1170,(4v),
1171,De,de
1172,dominus,dominus
1173,recipit,recipit
1174,reditus,reditus
1175,magnos.,magnos
1176,Distant,distant
1177,fontes,fontes
1178,isti,isti
1179,Magno,magno
1180,possit,possit
1181,"arcus,",arcus
1182,isto,isto
1183,spacio,spatio
1184,impellunt,impelunt
1185,6,
1186,rotas,rotas
1187,molendini,molendini
1188,satis,satis
1189,"magnas,",magnas
1190,mari,mari
1191,absorbentur.,absorbentur
1192,Fonti,fonti
1193,litteram,literam
1194,videtur,uidetur
1195,convenire,conuenire
1196,ecclesia.,ecclesia
1197,24:,
1198,“rigabo,rigabo
1199,ortum,ortum
1200,plantationum,plantationum
1201,inebriabo,inebriabo
1202,partus,partus
1203,mei,mei
1204,"fructum,",fructum
1205,ecce,ecce
1206,factus,factus
1207,mihi,mii
1208,trames,trames
1209,fluvius,fluuius
1210,meus,meus
1211,appropinquavit,appropinquauit
1212,mare.”,mare
1213,Multas,multas
1214,commoditates,comoditates
1215,conferunt,conferunt
1216,incolis,incolis
1217,aque.De,aquede
1218,fonte,fonte
1219,leuca,leuca
1220,Tyrus,tirus
1221,maris,maris
1222,preconio,preconio
1223,"Ezechiele,",eseciele
1224,"Ysaia,",isaia
1225,Ieremia,ieremia
1226,ceteris,ceteris
1227,sacre,sacre
1228,scripture,scripture
1229,libris.,libris
1230,Habuit,habuit
1231,dicto,dicto
1232,puteo,puteo
1233,venam,uenam
1234,unam,unam
1235,tracones,tracones
1236,pyramides,piramides
1237,"mirabiles,",mirabiles
1238,quarum,quarum
1239,vestigia,uestigia
1240,ruine,ruine
1241,"videntur,",uidentur
1242,ductam.,ductam
1243,circuivi,circuiui
1244,vidi.,uidi
1245,Civitas,ciuitas
1246,Tyras,tiras
1247,Iaphet,iapet
1248,constructa,constructa
1249,"diluvium,",diluuium
1250,"supra,",supra
1251,"instaurata,",instaurata
1252,Phenice,penice
1253,effecta.,efecta
