,before,after
3566,iste.,iste
3567,convallis,conualis
3568,"illustris,",ilustris
3569,fertilitatem,fertilitatem
3570,descensum,descensum
3571,Mortuum.,mortuum
3572,antequam,antequam
3573,subverteret,subuerteret
3574,Sodomam,sodomam
3575,Gomorram,gomorram
3576,illustris,ilustris
3577,irrigabatur,irrigabatur
3578,Egyptus,egiptus
3579,10.,
3580,Convallis,conualis
3581,Aulon,aulon
3582,Sodomis,sodomis
3583,230,
3584,"stadiorum,",stadiorum
3585,latum,latum
3586,stadia,stadia
3587,quolibet,quolibet
3588,"Iordanis,",iordanis
3589,fluit.,fluit
3590,perspeculum,perspeculum
3591,montemque,montemque
3592,Carmelum.,carmelum
3593,Iter,iter
3594,planam,planam
3595,Ennon,ennon
3596,"Salim,",salim
3597,Iohannes,iohannes
3598,baptizans,baptisans
3599,Iheu,ieu
3600,Ramach,ramac
3601,speculator,speculator
3602,‘video,uideo
3603,globum.’,globum
3604,Nec,nec
3605,uerum,uerum
3606,ros,ros
3607,pluvia,pluuia
3608,"Gel(17v)boe,",gelboe
3609,Martini,martini
3610,carnem,carnem
3611,"madefactus,",madefactus
3612,pluviis,pluuiis
3613,repleta,repleta
3614,aquis.,aquis
3615,vice,uice
3616,noctem,noctem
3617,dormivi,dormiui
3618,divo,diuo
3619,fuimus,fuimus
3620,infusi,infusi
3621,rore,rore
3622,anno,anno
3623,1283.,
3624,petrosi,petrosi
3625,aridi,aridi
3626,steriles,steriles
3627,Israel.,isrel
3628,Gynim,ginim
3629,muratum,muratum
3630,"collapsum,",colapsum
3631,Samaria,samaria
3632,Galilea.,galilea
3633,Gynnim,ginnim
3634,parti,parti
3635,Taphue,tapue
3636,altos.,altos
3637,"Sebaste,",sebaste
3638,regni,regni
3639,"tribuum,",tribuum
3640,exigentibus,exigentibus
3641,duas,duas
3642,ecclesias,ecclesias
3643,constructas,constructas
3644,Iohannis,iohannis
3645,Baptiste.,baptiste
3646,"una,",una
3647,principalis,principalis
3648,"kathedralis,",katedralis
3649,sibi,sibi
3650,sepulchro,sepulcro
3651,"Iohannis,",iohannis
3652,marmore,marmore
3653,factum,factum
3654,instar,instar
3655,Heliseum,heliseum
3656,Abdyam,abdiam
3657,prophetam,propetam
3658,sepultus.,sepultus
3659,posita,posita
3660,descensu.,descensu
3661,beatum,beatum
3662,Iohannem,iohannem
3663,honorant,honorant
3664,Christum,cristum
3665,beatam,beatam
3666,"virginem,",uirginem
3667,sencientes.,sencientes
3668,Dicunt,dicunt
3669,veraciter,ueraciter
3670,Dei.,dei
3671,Deum,deum
3672,negant.,negant
3673,Beatam,beatam
3674,virginem,uirginem
3675,"concepisse,",concepisse
3676,"peperisse,",peperisse
3677,permansisse.,permansisse
3678,sanctissimum,sanctissimum
3679,prophetarum.,propetarum
3680,Machumetum,macumetum
3681,missum.,missum
3682,legi,legi
3683,alcorano,alcorano
3684,legis,legis
3685,eorum.Alia,eorumalia
3686,supercilio,supercilio
3687,palacium,palacium
3688,regis.,regis
3689,Greci,greci
3690,inhabitant,inhabitant
3691,monachi,monaci
3692,benigne,benigne
3693,receperunt,receperunt
3694,paverunt.,pauerunt
3695,incarceratum,incarceratum
3696,decollatum,decolatum
3697,"Herode,",herode
3698,frivolum,friuolum
3699,(18r),
3700,"reputo,",reputo
3701,Cronica,cronica
3702,legende,legende
3703,magister,magister
3704,Hystoriis,historiis
3705,Hystoria,historia
3706,concorditer,concorditer
3707,Macherunta,macerunta
3708,Haylon,hailon
3709,decollatum.,decolatum
3710,Preterea,preterea
3711,decollavit,decolauit
3712,trans,trans
3713,"flumen,",flumen
3714,potestatis,potestatis
3715,procuratione,procuratione
3716,Pylati,pilati
3717,Iudea.,iudea
3718,incarcerare,incarcerare
3719,potuit,potuit
3720,decollare,decolare
3721,iuris.,iuris
3722,Decollato,decolato
3723,"Macheronta,",maceronta
3724,"humatum,",humatum
3725,prophetas,propetas
3726,predictos.,predictos
3727,Caput,caput
3728,Ierosolimis,ierosolimis
3729,sepultum.Tales,sepultumtales
3730,ruinas,ruinas
3731,multas,multas
3732,magnas,magnas
3733,viderim.,uiderim
3734,velle,aute
3735,verbo,uerbo
3736,‘si,si
3737,sufficere,suficere
3738,poterit,poterit
3739,pulvis,puluis
3740,pugillis,pugilis
3741,me.’,me
3742,sentire,sentire
3743,murus,murus
3744,superficies,superficies
3745,fuerint,fuerint
3746,equales,equales
3747,erat.,erat
3748,Immo,imo
3749,munitus,munitus
3750,interius,interius
3751,paulatim,paulatim
3752,"surgens,",surgens
3753,circumsitus,circumsitus
3754,edificiis,edificiis
3755,botrus,botrus
3756,aliquis,aliquis
3757,uvis,uuis
3758,consitus,consitus
3759,erectus,erectus
3760,crescens,crescens
3761,acumen.,acumen
3762,Regio,regio
3763,sustantabant,sustantabant
3764,palacia,palatia
3765,deambulatoria.,deambulatoria
3766,regia,regia
3767,mansionibus,mansionibus
3768,"nobilium,",nobilium
3769,platea,platea
3770,communis,comunis
3771,forum,forum
3772,rerum,rerum
3773,venalium,uenalium
3774,circuitum,circuitum
3775,inveniuntur,inueniuntur
3776,"marmoree,",marmoree
3777,stantes,stantes
3778,altrinsecus,altrinsecus
3779,continebant,continebant
3780,testitudines,testitudines
3781,platearum,platearum
3782,placee,placee
3783,testudinate,testudinate
