,shared_word,version a name,version a count,version b name,version b count
184,piramidem,london,4,zwickau,5
185,iob,london,4,zwickau,4
186,incole,london,4,zwickau,4
187,nauigantibus,london,4,zwickau,4
188,orare,london,4,zwickau,3
189,uir,london,4,zwickau,2
190,hus,london,4,zwickau,5
191,riuum,london,4,zwickau,3
192,dictam,london,4,zwickau,3
193,uenisse,london,4,zwickau,3
194,tercius,london,4,zwickau,3
195,pulcram,london,4,zwickau,5
196,heliseus,london,4,zwickau,5
197,latum,london,4,zwickau,2
198,campi,london,4,zwickau,3
199,uilam,london,4,zwickau,5
200,uideatur,london,4,zwickau,2
201,scriptura,london,4,zwickau,2
202,beatam,london,4,zwickau,3
203,inueniuntur,london,4,zwickau,3
204,deliciis,london,4,zwickau,3
205,altari,london,4,zwickau,2
206,scripsit,london,4,zwickau,1
207,tecuam,london,4,zwickau,2
208,iscius,london,4,zwickau,3
209,rupibus,london,4,zwickau,3
210,sanguinis,london,4,zwickau,2
211,munitionem,london,4,zwickau,3
212,angulum,london,4,zwickau,1
213,salomonis,london,4,zwickau,2
214,crucifixus,london,4,zwickau,4
215,mentio,london,4,zwickau,3
216,intraueris,london,4,zwickau,4
217,lumen,london,4,zwickau,1
218,oscium,london,4,zwickau,1
219,iudas,london,4,zwickau,2
220,ignem,london,4,zwickau,2
221,diametrum,london,4,zwickau,4
222,uidebis,london,4,zwickau,5
223,eundem,london,4,zwickau,4
224,altaris,london,4,zwickau,3
225,misse,london,4,zwickau,3
226,ade,london,4,zwickau,5
227,dico,london,4,zwickau,4
228,nobe,london,4,zwickau,4
229,monacis,london,4,zwickau,4
230,ioppen,london,4,zwickau,3
231,equos,london,4,zwickau,1
232,utuntur,london,4,zwickau,4
233,episcopi,london,4,zwickau,4
234,populum,london,4,zwickau,4
235,solempniter,london,4,zwickau,1
236,stant,london,4,zwickau,4
237,galea,london,4,zwickau,3
238,paramiam,london,4,zwickau,4
239,paramia,london,4,zwickau,4
240,damiata,london,4,zwickau,4
241,nilum,london,4,zwickau,5
242,laris,london,4,zwickau,4
243,kairo,london,4,zwickau,2
244,horrea,london,4,zwickau,4
245,ieronimus,london,3,zwickau,1
246,transiuit,london,3,zwickau,2
247,uenerabilis,london,3,zwickau,2
248,saluatorem,london,3,zwickau,1
249,presentibus,london,3,zwickau,4
250,sanguinem,london,3,zwickau,1
251,iacobite,london,3,zwickau,2
252,sanguine,london,3,zwickau,2
253,uniuersa,london,3,zwickau,3
254,noctis,london,3,zwickau,2
255,dispositio,london,3,zwickau,5
256,principio,london,3,zwickau,3
257,sinus,london,3,zwickau,2
258,respicit,london,3,zwickau,3
259,urbibus,london,3,zwickau,2
260,incisam,london,3,zwickau,1
261,penice,london,3,zwickau,4
262,fratre,london,3,zwickau,2
263,regno,london,3,zwickau,3
264,uitriaco,london,3,zwickau,4
265,descriptionem,london,3,zwickau,2
266,portum,london,3,zwickau,2
