,shared_word,version a name,version a count,version b name,version b count
60,delicatissimum,zwickau,1,breslau,1
61,sidonis,zwickau,1,breslau,1
62,beritus,zwickau,1,breslau,1
63,relatione,zwickau,1,breslau,1
64,sitas,zwickau,1,breslau,1
65,nobilissima,zwickau,1,breslau,1
66,hauriunt,zwickau,1,breslau,1
67,ubique,zwickau,1,breslau,2
68,glosa,zwickau,1,breslau,1
69,incarnationis,zwickau,1,breslau,1
70,iotapata,zwickau,1,breslau,1
71,confluentes,zwickau,1,breslau,1
72,ibique,zwickau,1,breslau,1
73,condense,zwickau,1,breslau,1
74,tenerot,zwickau,1,breslau,1
75,occupat,zwickau,1,breslau,2
76,mesopotamiam,zwickau,1,breslau,1
77,reducunt,zwickau,1,breslau,1
78,opido,zwickau,1,breslau,3
79,surgere,zwickau,1,breslau,1
80,quousque,zwickau,1,breslau,1
81,idrie,zwickau,1,breslau,1
82,firmus,zwickau,1,breslau,1
83,flos,zwickau,1,breslau,1
84,florum,zwickau,1,breslau,1
85,pululauit,zwickau,1,breslau,1
86,superatus,zwickau,1,breslau,1
87,r,zwickau,1,breslau,2
88,frumenti,zwickau,1,breslau,1
89,gignere,zwickau,1,breslau,1
90,casteli,zwickau,1,breslau,1
91,ramot,zwickau,1,breslau,1
92,mediam,zwickau,1,breslau,1
93,incolunt,zwickau,1,breslau,1
94,circumseptus,zwickau,1,breslau,1
95,sustentabant,zwickau,1,breslau,1
96,uitulos,zwickau,1,breslau,1
97,aureos,zwickau,1,breslau,1
98,iii,zwickau,1,breslau,15
99,castrametati,zwickau,1,breslau,2
100,diuersas,zwickau,1,breslau,1
101,excubant,zwickau,1,breslau,1
102,camelos,zwickau,1,breslau,1
103,parcunt,zwickau,1,breslau,1
104,sexui,zwickau,1,breslau,1
105,etati,zwickau,1,breslau,1
106,crudelissimi,zwickau,1,breslau,1
107,admiraldus,zwickau,1,breslau,1
108,tantumdem,zwickau,1,breslau,1
109,tangentem,zwickau,1,breslau,1
110,sangor,zwickau,1,breslau,1
111,fugeret,zwickau,1,breslau,1
112,dimissius,zwickau,1,breslau,1
113,imagini,zwickau,1,breslau,1
114,magdalena,zwickau,1,breslau,1
115,desertus,zwickau,1,breslau,1
116,domina,zwickau,1,breslau,1
117,australes,zwickau,1,breslau,1
118,agens,zwickau,1,breslau,1
119,gratias,zwickau,1,breslau,1
120,nostram,zwickau,1,breslau,2
121,fabulantur,zwickau,1,breslau,1
122,uoragine,zwickau,1,breslau,1
123,incipiebat,zwickau,1,breslau,1
124,ananeel,zwickau,1,breslau,2
125,obturauit,zwickau,1,breslau,1
126,cingit,zwickau,1,breslau,1
127,testitudinata,zwickau,1,breslau,1
128,maleo,zwickau,1,breslau,1
129,instrumento,zwickau,1,breslau,2
130,imolauit,zwickau,1,breslau,1
131,uictimas,zwickau,1,breslau,1
132,pasga,zwickau,1,breslau,1
133,religata,zwickau,1,breslau,1
134,iustitie,zwickau,1,breslau,1
135,ecclesiis,zwickau,1,breslau,1
136,parietum,zwickau,1,breslau,1
137,confracta,zwickau,1,breslau,1
138,ordinem,zwickau,1,breslau,2
139,tractus,zwickau,1,breslau,1
140,notabiliter,zwickau,1,breslau,1
141,stela,zwickau,1,breslau,1
142,cecidisse,zwickau,1,breslau,1
143,tutissima,zwickau,1,breslau,1
144,pilisteis,zwickau,1,breslau,2
145,maon,zwickau,1,breslau,1
146,latibula,zwickau,1,breslau,1
147,conditus,zwickau,1,breslau,1
148,coniuge,zwickau,1,breslau,1
149,coniugibus,zwickau,1,breslau,1
150,conuale,zwickau,1,breslau,1
151,comedit,zwickau,1,breslau,1
152,ministrante,zwickau,1,breslau,1
153,radicibus,zwickau,1,breslau,1
154,bus,zwickau,1,breslau,1
155,nauim,zwickau,1,breslau,1
156,iuditia,zwickau,1,breslau,1
157,pilatus,zwickau,1,breslau,1
158,tribunali,zwickau,1,breslau,1
159,opel,zwickau,1,breslau,2
160,edificabitur,zwickau,1,breslau,1
161,tamem,zwickau,1,breslau,1
162,placuerit,zwickau,1,breslau,1
163,fures,zwickau,1,breslau,1
164,n,zwickau,1,breslau,1
165,io,zwickau,1,breslau,1
166,antonii,zwickau,1,breslau,1
