,feature_name,word,zwickau,london,breslau,version with higher score
23976,count_vectorizer_5_gram,uamda,2,1,0,zwickau
23977,count_vectorizer_5_gram,amdam,2,1,0,zwickau
23978,count_vectorizer_5_gram,a_ass,2,3,1,london
23979,count_vectorizer_5_gram,assyn,2,0,0,zwickau
23980,count_vectorizer_5_gram,ssyni,2,0,0,zwickau
23981,count_vectorizer_5_gram,synin,2,0,0,zwickau
23982,count_vectorizer_5_gram,ua_ha,2,1,1,zwickau
23983,count_vectorizer_5_gram,satio,2,1,0,zwickau
23984,count_vectorizer_5_gram,fra_p,2,2,1,zwickau
23985,count_vectorizer_5_gram,cte_f,2,1,0,zwickau
23986,count_vectorizer_5_gram,cio_s,2,2,0,zwickau
23987,count_vectorizer_5_gram,ialis,2,1,0,zwickau
23988,count_vectorizer_5_gram,erado,2,2,0,zwickau
23989,count_vectorizer_5_gram,rado_,2,2,0,zwickau
23990,count_vectorizer_5_gram,rgere,2,1,1,zwickau
23991,count_vectorizer_5_gram,geret,2,1,1,zwickau
23992,count_vectorizer_5_gram,ret_s,2,4,1,london
23993,count_vectorizer_5_gram,rimam,2,2,1,zwickau
23994,count_vectorizer_5_gram,mam_i,2,2,0,zwickau
23995,count_vectorizer_5_gram,ima_o,2,1,0,zwickau
23996,count_vectorizer_5_gram,o_orb,2,0,1,zwickau
23997,count_vectorizer_5_gram,a_dix,2,2,0,zwickau
23998,count_vectorizer_5_gram,dixi_,2,5,1,london
23999,count_vectorizer_5_gram,ixi_m,2,3,0,london
24000,count_vectorizer_5_gram,xi_mi,2,3,0,london
24001,count_vectorizer_5_gram,lto_t,2,2,0,zwickau
24002,count_vectorizer_5_gram,la_ci,2,1,0,zwickau
24003,count_vectorizer_5_gram,te_st,2,1,0,zwickau
24004,count_vectorizer_5_gram,th_de,2,3,1,london
24005,count_vectorizer_5_gram,ath_h,2,1,0,zwickau
24006,count_vectorizer_5_gram,lto_s,2,4,2,london
24007,count_vectorizer_5_gram,r_ins,2,2,0,zwickau
24008,count_vectorizer_5_gram,n_mer,2,2,0,zwickau
24009,count_vectorizer_5_gram,nsi_c,2,2,0,zwickau
24010,count_vectorizer_5_gram,odice,2,0,0,zwickau
24011,count_vectorizer_5_gram,ualla,2,1,0,zwickau
24012,count_vectorizer_5_gram,nato_,2,2,1,zwickau
24013,count_vectorizer_5_gram,to_ni,2,2,0,zwickau
24014,count_vectorizer_5_gram,chilo,2,3,2,london
24015,count_vectorizer_5_gram,hilom,2,4,2,london
24016,count_vectorizer_5_gram,ilomi,2,4,2,london
24017,count_vectorizer_5_gram,atu_e,2,0,0,zwickau
24018,count_vectorizer_5_gram,tatu_,2,1,0,zwickau
24019,count_vectorizer_5_gram,ano_d,2,1,0,zwickau
24020,count_vectorizer_5_gram,no_di,2,2,1,zwickau
24021,count_vectorizer_5_gram,se_pe,2,1,1,zwickau
24022,count_vectorizer_5_gram,per_8,2,3,0,london
24023,count_vectorizer_5_gram,er_8_,2,4,0,london
24024,count_vectorizer_5_gram,_8_di,2,2,0,zwickau
24025,count_vectorizer_5_gram,8_die,2,2,0,zwickau
24026,count_vectorizer_5_gram,er_15,2,0,0,zwickau
24027,count_vectorizer_5_gram,ete_u,2,0,0,zwickau
24028,count_vectorizer_5_gram,l_eti,2,3,1,london
24029,count_vectorizer_5_gram,esser,2,3,1,london
24030,count_vectorizer_5_gram,t_arm,2,2,0,zwickau
24031,count_vectorizer_5_gram,cribo,2,3,1,london
24032,count_vectorizer_5_gram,ribo_,2,3,1,london
24033,count_vectorizer_5_gram,tenci,2,1,0,zwickau
24034,count_vectorizer_5_gram,ost_t,2,1,1,zwickau
24035,count_vectorizer_5_gram,n_pat,2,0,1,zwickau
24036,count_vectorizer_5_gram,rodus,2,0,0,zwickau
24037,count_vectorizer_5_gram,odus_,2,0,0,zwickau
24038,count_vectorizer_5_gram,_rodu,2,2,1,zwickau
24039,count_vectorizer_5_gram,rodum,2,3,1,london
24040,count_vectorizer_5_gram,ia_ro,2,1,0,zwickau
24041,count_vectorizer_5_gram,um_cl,2,3,1,london
24042,count_vectorizer_5_gram,mente,2,3,0,london
24043,count_vectorizer_5_gram,nc_co,2,2,2,zwickau
24044,count_vectorizer_5_gram,ra_an,2,2,1,zwickau
24045,count_vectorizer_5_gram,_anty,2,16,0,london
24046,count_vectorizer_5_gram,rie_c,2,2,2,zwickau
24047,count_vectorizer_5_gram,ferun,2,2,1,zwickau
24048,count_vectorizer_5_gram,runtu,2,1,0,zwickau
24049,count_vectorizer_5_gram,disti,2,5,5,london
24050,count_vectorizer_5_gram,tra_b,2,1,2,zwickau
24051,count_vectorizer_5_gram,m_hos,2,1,1,zwickau
24052,count_vectorizer_5_gram,t_thu,2,0,0,zwickau
24053,count_vectorizer_5_gram,uronu,2,0,1,zwickau
24054,count_vectorizer_5_gram,ronum,2,0,2,zwickau
24055,count_vectorizer_5_gram,riadi,2,2,1,zwickau
24056,count_vectorizer_5_gram,iadis,2,2,1,zwickau
24057,count_vectorizer_5_gram,ra_ty,2,4,1,london
24058,count_vectorizer_5_gram,neren,2,2,0,zwickau
24059,count_vectorizer_5_gram,_iabi,2,2,2,zwickau
24060,count_vectorizer_5_gram,iabin,2,1,2,zwickau
24061,count_vectorizer_5_gram,abin_,2,1,2,zwickau
24062,count_vectorizer_5_gram,bin_r,2,1,2,zwickau
24063,count_vectorizer_5_gram,poten,2,2,1,zwickau
24064,count_vectorizer_5_gram,sue_c,2,1,3,breslau
24065,count_vectorizer_5_gram,ur_io,2,4,3,london
24066,count_vectorizer_5_gram,gna_h,2,1,1,zwickau
24067,count_vectorizer_5_gram,a_hec,2,4,3,london
24068,count_vectorizer_5_gram,eneba,2,1,0,zwickau
24069,count_vectorizer_5_gram,una_t,2,2,0,zwickau
24070,count_vectorizer_5_gram,m_fla,2,1,0,zwickau
24071,count_vectorizer_5_gram,_flam,2,2,1,zwickau
24072,count_vectorizer_5_gram,flamm,2,2,1,zwickau
