,feature_name,word,zwickau,london,version with higher score
182,word_counter,suo,21,21,equal
183,word_counter,templi,21,24,london
184,word_counter,modum,21,19,zwickau
185,word_counter,idem,21,27,london
186,word_counter,achon,21,2,zwickau
187,word_counter,30,21,11,zwickau
188,word_counter,multa,21,22,london
189,word_counter,eum,21,27,london
190,word_counter,quando,21,28,london
191,word_counter,dicunt,21,26,london
192,word_counter,christiani,20,19,zwickau
193,word_counter,locis,20,23,london
194,word_counter,ebron,20,19,zwickau
195,word_counter,uerum,20,21,london
196,word_counter,pars,20,23,london
197,word_counter,quasi,20,19,zwickau
198,word_counter,uidetur,20,39,london
199,word_counter,omnino,20,24,london
200,word_counter,longitudine,20,23,london
201,word_counter,sancti,20,23,london
202,word_counter,quedam,19,21,london
203,word_counter,regis,19,16,zwickau
204,word_counter,latitudine,19,17,zwickau
205,word_counter,credo,19,16,zwickau
206,word_counter,aliis,18,25,london
207,word_counter,dicuntur,18,17,zwickau
208,word_counter,arcus,18,23,london
209,word_counter,isto,18,40,london
210,word_counter,6,18,24,london
211,word_counter,syon,17,28,london
212,word_counter,iacob,17,12,zwickau
213,word_counter,10,17,15,zwickau
214,word_counter,totam,17,24,london
215,word_counter,magnum,17,24,london
216,word_counter,uilla,17,23,london
217,word_counter,oriente,17,17,equal
218,word_counter,eiusdem,17,16,zwickau
219,word_counter,una,17,21,london
220,word_counter,opidum,17,4,zwickau
221,word_counter,cedron,17,19,london
222,word_counter,sancta,16,19,london
223,word_counter,bethleem,16,14,zwickau
224,word_counter,licet,16,16,equal
225,word_counter,posset,16,12,zwickau
226,word_counter,ciuitates,16,13,zwickau
227,word_counter,israel,16,30,london
228,word_counter,aquas,16,19,london
229,word_counter,hermon,16,21,london
230,word_counter,faciunt,16,14,zwickau
231,word_counter,effraym,16,24,london
232,word_counter,sancte,15,14,zwickau
233,word_counter,apud,15,8,zwickau
234,word_counter,hiis,15,18,london
235,word_counter,illis,15,14,zwickau
236,word_counter,syria,15,18,london
237,word_counter,bethel,15,19,london
238,word_counter,montibus,15,14,zwickau
239,word_counter,medio,15,20,london
240,word_counter,iste,15,54,london
241,word_counter,austro,15,16,london
242,word_counter,antiquitus,15,15,equal
243,word_counter,torrentem,15,20,london
244,word_counter,uiam,15,22,london
245,word_counter,ipsum,15,17,london
246,word_counter,uenit,15,16,london
247,word_counter,ruine,15,19,london
248,word_counter,nimis,15,16,london
249,word_counter,egipto,15,13,zwickau
250,word_counter,syloe,15,16,london
251,word_counter,incipit,14,16,london
252,word_counter,die,14,14,equal
253,word_counter,plus,14,10,zwickau
254,word_counter,ego,14,23,london
255,word_counter,ipsam,14,15,london
256,word_counter,quos,14,12,zwickau
