,feature_name,word,zwickau,london,version with higher score
51857,count_vectorizer_6_gram,sicud_,61,6,zwickau
51858,count_vectorizer_6_gram,a_que_,60,67,london
51859,count_vectorizer_6_gram,nibus_,60,69,london
51860,count_vectorizer_6_gram,_porta,60,69,london
51861,count_vectorizer_6_gram,_habit,60,60,equal
51862,count_vectorizer_6_gram,leucas,60,67,london
51863,count_vectorizer_6_gram,habet_,60,64,london
51864,count_vectorizer_6_gram,_enim_,59,66,london
51865,count_vectorizer_6_gram,s_que_,59,49,zwickau
51866,count_vectorizer_6_gram,eucas_,59,64,london
51867,count_vectorizer_6_gram,simili,59,59,equal
51868,count_vectorizer_6_gram,_loco_,59,81,london
51869,count_vectorizer_6_gram,em_et_,58,74,london
51870,count_vectorizer_6_gram,ntibus,58,61,london
51871,count_vectorizer_6_gram,iliter,58,53,zwickau
51872,count_vectorizer_6_gram,entes_,58,71,london
51873,count_vectorizer_6_gram,_sarra,58,52,zwickau
51874,count_vectorizer_6_gram,sarrac,58,54,zwickau
51875,count_vectorizer_6_gram,arrace,58,54,zwickau
51876,count_vectorizer_6_gram,rracen,58,54,zwickau
51877,count_vectorizer_6_gram,_parte,58,68,london
51878,count_vectorizer_6_gram,tatis_,58,83,london
51879,count_vectorizer_6_gram,e_est_,58,73,london
51880,count_vectorizer_6_gram,_galil,57,52,zwickau
51881,count_vectorizer_6_gram,galile,57,52,zwickau
51882,count_vectorizer_6_gram,tur_in,57,61,london
51883,count_vectorizer_6_gram,untur_,57,60,london
51884,count_vectorizer_6_gram,_est_a,56,71,london
51885,count_vectorizer_6_gram,em_in_,56,65,london
51886,count_vectorizer_6_gram,e_mont,56,50,zwickau
51887,count_vectorizer_6_gram,supra_,56,70,london
51888,count_vectorizer_6_gram,hristi,55,54,zwickau
51889,count_vectorizer_6_gram,us_est,55,67,london
51890,count_vectorizer_6_gram,usalem,55,54,zwickau
51891,count_vectorizer_6_gram,salem_,55,52,zwickau
51892,count_vectorizer_6_gram,_sita_,55,58,london
