original_word,variants,variants_count
ipsa,"[('isa', 1), ('ipse', 1), ('ipsas', 1), ('ipsi', 1), ('ipso', 1), ('ipsam', 1)]",6
lege,"[('legi', 1), ('rege', 1), ('leges', 1), ('legem', 1)]",4
ituree,"[('iturea', 1)]",1
oblongo,"[('oblonga', 1)]",1
ueneris,"[('ueteris', 1), ('generis', 1), ('uentris', 1)]",3
homo,"[('domo', 1)]",1
albam,"[('album', 1), ('aliam', 1)]",2
oppositus,"[('oppositum', 1)]",1
nomem,"[('nomen', 1)]",1
deleta,"[('delta', 1)]",1
biblii,"[('biblio', 1)]",1
fluens,"[('efluens', 1)]",1
dimidie,"[('dimidia', 1), ('dimidio', 1)]",2
traconitide,"[('traconitidem', 1)]",1
redeunt,"[('redeunti', 1), ('reddunt', 1)]",2
marina,"[('maria', 1)]",1
spelunce,"[('spelunca', 1)]",1
sedium,"[('medium', 1)]",1
ualanie,"[('ualamie', 1)]",1
sior,"[('sion', 1), ('ior', 1)]",2
turrim,"[('turris', 1), ('turri', 1), ('turrium', 1), ('turrem', 1)]",4
pretiosas,"[('pretiosa', 1)]",1
natatoria,"[('natatorie', 1), ('natatoriam', 1)]",2
fructu,"[('fructus', 1), ('fructum', 1)]",2
rubri,"[('rubro', 1)]",1
delbora,"[('delbore', 1)]",1
deut,"[('deus', 1), ('deum', 1)]",2
oliueti,"[('oliuetis', 1), ('oliueta', 1)]",2
sirie,"[('sirin', 1), ('siria', 1), ('siri', 1), ('siris', 1)]",4
uanii,"[('uanini', 1)]",1
sacre,"[('sacra', 1)]",1
dicti,"[('dici', 1), ('dictis', 1), ('picti', 1), ('dicto', 1), ('dicta', 1)]",5
tulerunt,"[('tulerant', 1)]",1
inpressa,"[('impressa', 1)]",1
quilibet,"[('quolibet', 1), ('qualibet', 1)]",2
asoti,"[('asoto', 1)]",1
destructa,"[('destructam', 1)]",1
uocat,"[('uocant', 1), ('uocata', 1)]",2
filius,"[('filiis', 1), ('filios', 1), ('filium', 1), ('ilius', 1)]",4
aureum,"[('aureus', 1)]",1
intermediam,"[('intermedia', 1)]",1
bona,"[('bone', 1), ('boni', 1), ('nona', 1), ('bonam', 1), ('bonas', 1)]",5
iluc,"[('ilud', 1), ('ilic', 1), ('ilum', 1)]",3
matei,"[('matri', 1)]",1
scissio,"[('scissi', 1)]",1
uadens,"[('uidens', 1)]",1
muniri,"[('muniti', 1)]",1
tantum,"[('tantam', 1)]",1
lepna,"[('lebna', 1)]",1
kurkum,"[('kurcum', 1)]",1
tectum,"[('tecum', 1)]",1
tabulam,"[('tabula', 1), ('tabulas', 1)]",2
statura,"[('staturam', 1), ('stature', 1), ('statua', 1)]",3
tartaro,"[('tartari', 1)]",1
dedicata,"[('delicata', 1)]",1
cristum,"[('cristus', 1)]",1
interfecta,"[('interfecto', 1)]",1
preuenti,"[('presenti', 1)]",1
milia,"[('filia', 1)]",1
impressa,"[('inpressa', 1)]",1
sufitiant,"[('sufitiat', 1)]",1
castra,"[('castri', 1), ('castro', 1)]",2
quarte,"[('quarta', 1), ('quare', 1)]",2
inclusit,"[('includit', 1)]",1
guta,"[('ruta', 1), ('gute', 1), ('tuta', 1), ('auta', 1)]",4
munitam,"[('munita', 1), ('munitum', 1)]",2
quamlibet,"[('quemlibet', 1), ('qualibet', 1)]",2
arto,"[('alto', 1), ('orto', 1)]",2
faran,"[('aran', 1), ('paran', 1)]",2
sudore,"[('sudor', 1)]",1
testudinata,"[('testudinate', 1)]",1
pede,"[('pedes', 1), ('pedem', 1), ('cede', 1)]",3
nauigaui,"[('nauigari', 1)]",1
multitudinem,"[('multitudine', 1)]",1
descendentis,"[('descendentes', 1)]",1
equis,"[('equos', 1), ('quis', 1), ('aquis', 1)]",3
pomum,"[('potum', 1), ('domum', 1)]",2
arcis,"[('arcus', 1), ('armis', 1), ('acis', 1), ('arcas', 1)]",4
mansi,"[('mansio', 1), ('mansit', 1)]",2
ciuitatis,"[('ciuitati', 1), ('ciuitates', 1)]",2
sint,"[('sunt', 1), ('sinu', 1), ('sit', 1), ('sin', 1)]",4
saluias,"[('saluia', 1)]",1
uehementer,"[('uehementem', 1)]",1
diuisione,"[('diuisiones', 1), ('diuisionem', 1)]",2
tobias,"[('tobia', 1)]",1
parua,"[('parum', 1), ('paruam', 1), ('paruo', 1), ('parui', 1)]",4
ascolonem,"[('ascalonem', 1)]",1
fluit,"[('fleuit', 1), ('fuit', 1), ('efluit', 1), ('fluxit', 1)]",4
mirabile,"[('mirabiles', 1), ('mirabilem', 1)]",2
capta,"[('apta', 1), ('capti', 1), ('captam', 1), ('capita', 1)]",4
angulum,"[('angulus', 1), ('angelum', 1)]",2
proici,"[('proicit', 1)]",1
aliquam,"[('aliquem', 1), ('aliqua', 1), ('aliquas', 1)]",3
dicetur,"[('dicatur', 1), ('dicitur', 1)]",2
corum,"[('horum', 1), ('colum', 1), ('eorum', 1), ('corui', 1), ('forum', 1), ('coram', 1)]",6
aput,"[('aut', 1), ('caput', 1), ('apud', 1)]",3
ieselico,"[('ieselic', 1)]",1
diuersis,"[('diuersi', 1)]",1
regno,"[('regio', 1), ('regni', 1), ('regna', 1)]",3
demonstrantur,"[('demonstratur', 1)]",1
uniuerso,"[('uniuerse', 1), ('uniuersa', 1)]",2
munitio,"[('muniti', 1)]",1
porte,"[('poete', 1), ('forte', 1), ('portu', 1), ('porta', 1), ('sorte', 1), ('parte', 1), ('morte', 1)]",7
teutonice,"[('teutonie', 1), ('teutonica', 1)]",2
cubitis,"[('cubitos', 1)]",1
fratre,"[('fratrem', 1), ('fratres', 1), ('fratri', 1)]",3
ipse,"[('ipsa', 1), ('ipsi', 1), ('ipso', 1)]",3
uenti,"[('ueni', 1), ('uentis', 1), ('uento', 1)]",3
piala,"[('fiala', 1)]",1
mortuus,"[('mortuum', 1), ('mortuis', 1)]",2
nimia,"[('nimiam', 1), ('nimis', 1)]",2
loci,"[('locis', 1), ('loca', 1), ('loco', 1)]",3
quarentone,"[('quarentene', 1), ('querentone', 1), ('quarentonem', 1)]",3
fecundum,"[('secundum', 1)]",1
egiptus,"[('egiptum', 1), ('egipptus', 1)]",2
totum,"[('notum', 1), ('potum', 1), ('totus', 1), ('motum', 1), ('uotum', 1), ('titum', 1), ('totam', 1)]",7
ubera,"[('uera', 1)]",1
adam,"[('uadam', 1), ('edam', 1), ('aram', 1), ('axam', 1)]",4
habuit,"[('habui', 1)]",1
oppositum,"[('oppositus', 1)]",1
eleuterum,"[('eleuterus', 1)]",1
disposita,"[('dispositi', 1), ('disposite', 1)]",2
latus,"[('litus', 1), ('lacus', 1), ('datus', 1), ('latos', 1), ('latum', 1), ('natus', 1)]",6
ualamie,"[('ualanie', 1), ('ualamia', 1)]",2
principes,"[('principis', 1), ('principem', 1)]",2
dimissior,"[('dimissiora', 1)]",1
gradu,"[('gradus', 1)]",1
lapideam,"[('lapidem', 1)]",1
matre,"[('matri', 1), ('patre', 1), ('matrem', 1), ('mare', 1)]",4
bene,"[('bone', 1), ('cene', 1)]",2
scissi,"[('scissio', 1)]",1
altera,"[('alteram', 1), ('alter', 1)]",2
propeta,"[('propete', 1), ('propetas', 1), ('propetam', 1)]",3
preterea,"[('pretera', 1)]",1
pateant,"[('patent', 1), ('pateat', 1)]",2
indi,"[('india', 1), ('inde', 1)]",2
religiosis,"[('religionis', 1), ('religiosi', 1)]",2
item,"[('iter', 1), ('idem', 1)]",2
quarta,"[('quarte', 1), ('quanta', 1), ('quartam', 1)]",3
matri,"[('matei', 1), ('matre', 1), ('maturi', 1), ('matris', 1), ('mari', 1)]",5
aquilonem,"[('aquilone', 1)]",1
cipri,"[('cupri', 1)]",1
istud,"[('istum', 1)]",1
manum,"[('magnum', 1), ('manu', 1), ('panum', 1), ('manuum', 1), ('manus', 1), ('malum', 1)]",6
diuo,"[('diu', 1), ('duo', 1), ('riuo', 1), ('dico', 1)]",4
pulcerrima,"[('pulcerrimo', 1)]",1
romam,"[('rotam', 1), ('roma', 1)]",2
luca,"[('lusa', 1), ('loca', 1), ('leuca', 1), ('lucas', 1), ('lucam', 1)]",5
ionas,"[('lonas', 1), ('ioas', 1), ('bonas', 1)]",3
parum,"[('parua', 1), ('patrum', 1), ('paruum', 1), ('paruam', 1), ('panum', 1), ('farum', 1), ('paruo', 1), ('parui', 1), ('rarum', 1), ('earum', 1)]",10
distributione,"[('ditributione', 1)]",1
cabul,"[('sabul', 1), ('kabul', 1)]",2
niue,"[('noue', 1), ('siue', 1)]",2
annulo,"[('angulo', 1)]",1
uerbum,"[('uerum', 1)]",1
litere,"[('latere', 1), ('litore', 1)]",2
alibi,"[('alii', 1)]",1
mulierem,"[('mulierum', 1), ('mulieres', 1)]",2
cristiane,"[('cristiana', 1), ('cristiani', 1)]",2
peciuit,"[('peciui', 1)]",1
herode,"[('herodes', 1)]",1
uocata,"[('uocat', 1)]",1
toto,"[('tot', 1), ('tota', 1), ('toti', 1)]",3
locis,"[('loci', 1), ('locus', 1), ('lacis', 1)]",3
ramata,"[('ramatam', 1), ('ramaca', 1)]",2
uenatione,"[('uenationes', 1)]",1
lapis,"[('laris', 1), ('lacis', 1)]",2
piscinas,"[('piscinam', 1), ('piscins', 1), ('piscina', 1)]",3
isaias,"[('isaia', 1)]",1
nobilis,"[('nobiles', 1)]",1
iuditiaria,"[('iuditiariam', 1)]",1
funda,"[('fundo', 1)]",1
uadit,"[('uidit', 1), ('uadis', 1), ('cadit', 1), ('uadat', 1)]",4
habentur,"[('habetur', 1)]",1
amplis,"[('amplius', 1)]",1
panis,"[('palis', 1), ('canis', 1), ('panes', 1)]",3
sancte,"[('sancti', 1), ('sancto', 1), ('sancta', 1)]",3
eandem,"[('easdem', 1), ('eadem', 1), ('tandem', 1), ('eundem', 1)]",4
claustri,"[('claustro', 1), ('claustra', 1)]",2
ramatam,"[('ramata', 1)]",1
marmor,"[('marmore', 1)]",1
nigrum,"[('tigrum', 1)]",1
maiorem,"[('maiore', 1), ('maiores', 1)]",2
galine,"[('galini', 1)]",1
excelsus,"[('excelsis', 1), ('excelsum', 1)]",2
mira,"[('mire', 1), ('bira', 1), ('pira', 1)]",3
