,version,word,count
249,zwickau,pomis,2
250,zwickau,theutonicum,2
251,zwickau,paralipomeni,2
252,zwickau,synneus,2
253,zwickau,ualania,2
254,zwickau,syciliam,2
255,zwickau,ceperant,2
256,zwickau,pyala,2
257,zwickau,pyalam,2
258,zwickau,swanir,2
259,zwickau,theutoniam,2
260,zwickau,tympora,2
261,zwickau,cognominata,2
262,zwickau,georgius,2
263,zwickau,dotayn,2
264,zwickau,ramathasopin,2
265,zwickau,coniuncta,2
266,zwickau,thobie,2
267,zwickau,scriptum,2
268,zwickau,disponitus,2
269,zwickau,deuteronomio,2
270,zwickau,secundo,2
271,zwickau,ysmahel,2
272,zwickau,bersan,2
273,zwickau,locata,2
274,zwickau,delicatum,2
275,zwickau,thiberias,2
276,zwickau,cenereth,2
277,zwickau,hermonyn,2
278,zwickau,bayl,2
279,zwickau,mesra,2
280,zwickau,siman,2
281,zwickau,eundi,2
282,zwickau,dauidem,2
283,zwickau,susan,2
284,zwickau,pylistim,2
285,zwickau,emym,2
286,zwickau,gemnym,2
287,zwickau,transibat,2
288,zwickau,historiis,2
289,zwickau,translatum,2
290,zwickau,thersa,2
291,zwickau,excelsi,2
292,zwickau,sennacherip,2
293,zwickau,pridem,2
294,zwickau,q,2
295,zwickau,eglon,2
296,zwickau,magmas,2
297,zwickau,pasel,2
298,zwickau,pegor,2
299,zwickau,elisei,2
300,zwickau,transiens,2
301,zwickau,benymin,2
302,zwickau,bachurim,2
303,zwickau,syloem,2
304,zwickau,manent,2
305,zwickau,porticos,2
306,zwickau,achas,2
307,zwickau,inpressio,2
308,zwickau,sanguis,2
309,zwickau,cariachiarim,2
310,zwickau,beseel,2
311,zwickau,munierunt,2
312,zwickau,fortissime,2
313,zwickau,pylistei,2
314,zwickau,martirum,2
315,zwickau,sterquilini,2
316,zwickau,anandel,2
317,zwickau,bobus,2
318,zwickau,michelis,2
319,zwickau,machmetum,2
320,zwickau,cylicie,2
321,zwickau,uerchapete,2
322,zwickau,syenen,2
323,zwickau,sycilia,2
324,breslau,u,15
325,breslau,ii,14
326,breslau,michi,9
327,breslau,ui,8
328,breslau,occurit,6
329,breslau,yordanis,6
330,breslau,iiii,6
331,breslau,benyamyn,5
332,breslau,distinctione,4
333,breslau,yordanem,4
334,breslau,olym,4
335,breslau,suna,4
336,breslau,uobis,3
337,breslau,nouem,3
338,breslau,elyas,3
339,breslau,descendere,3
340,breslau,patri,2
341,breslau,scribam,2
342,breslau,sagwine,2
343,breslau,omne,2
344,breslau,potuerit,2
345,breslau,plagas,2
346,breslau,uestri,2
347,breslau,tali,2
348,breslau,debetis,2
349,breslau,tyrensis,2
350,breslau,hospitaliorum,2
351,breslau,cresunt,2
352,breslau,yeme,2
353,breslau,centro,2
354,breslau,uocabatur,2
355,breslau,semini,2
356,breslau,sepultra,2
357,breslau,ps,2
358,breslau,yordane,2
359,breslau,pilistei,2
360,breslau,is,2
361,breslau,empty,2
362,breslau,yoppe,2
363,breslau,pares,2
364,breslau,uiii,2
365,breslau,urbes,2
366,breslau,diuisionis,2
367,breslau,arsur,2
368,breslau,diuisa,2
