,importance,feature
270,0.0,_altr
271,6.386777464507201e-05,_altu
272,0.0,_alu
273,0.0,_alue
274,0.0002728033230522486,_am
275,0.0,_ama
276,0.0,_amac
277,0.0,_amal
278,3.5023125565257194e-05,_amar
279,0.0,_amas
280,0.0,_amat
281,0.0,_amb
282,0.0,_ambe
283,0.0,_ambi
284,0.0,_ame
285,0.0,_amen
286,0.0,_ami
287,0.0,_amic
288,6.950622803325223e-05,_amo
289,4.2122609815322995e-05,_amon
290,0.0,_amor
291,0.0,_amos
292,0.0,_amp
293,5.643824568535195e-05,_ampl
294,9.158352063923572e-05,_an
295,0.0,_an_
296,0.0,_an_s
297,0.0,_ana
298,0.0,_anac
299,0.0,_anas
300,0.0,_anat
301,0.0,_anc
302,0.0,_anco
303,0.0,_and
304,0.0,_andr
305,0.0,_ane
306,0.0,_ane_
307,0.0,_ang
308,4.321008507664629e-05,_ange
309,0.0,_angl
310,0.0,_angu
311,0.0,_ani
312,0.0,_anim
313,0.0,_ann
314,0.0,_anne
315,0.0,_anni
316,0.0,_anno
317,0.0,_annu
318,0.00012649162633898253,_ant
319,0.0,_anta
320,0.0,_ante
321,6.826083321297474e-05,_anti
322,0.0,_anto
323,0.00010497882868468183,_ap
324,0.0,_apa
325,0.0,_apam
326,0.0,_ape
327,0.0,_aper
328,0.0,_apo
329,0.0,_apol
330,0.0,_apos
331,8.281840837727161e-05,_app
332,0.0,_appa
333,0.00020129796616757996,_appe
334,0.0,_appl
335,0.0,_appo
336,0.0,_appr
337,0.0,_appu
338,0.0,_apt
339,0.0,_apta
340,0.0,_apti
341,0.0,_aptu
342,0.0,_apu
343,0.0,_apud
344,0.0,_aput
345,0.00025531466907570904,_aq
346,0.0,_aqu
347,0.0,_aqua
348,0.0,_aque
349,0.0002626491305038072,_aqui
350,0.0,_aquo
351,0.0,_ar
352,0.0,_ar_
353,0.0,_ar_d
354,0.0,_ar_f
355,0.0,_ar_i
356,0.0,_ara
357,0.0,_arab
358,0.0,_arac
359,0.0,_arad
360,0.0,_aram
361,0.0,_aran
362,0.0,_arat
363,0.0,_arb
364,0.0,_arbo
365,0.0,_arbu
366,8.425516289837343e-05,_arc
367,3.859506281969701e-05,_arca
368,0.0,_arci
369,1.1486812963495665e-05,_arcu
370,0.0,_are
371,3.937625079839573e-05,_area
372,0.0,_arec
373,0.0,_aren
374,7.078147764531754e-05,_areo
375,0.0,_ares
376,0.0,_aret
377,0.0,_arg
378,0.0,_arge
379,0.0,_argu
380,0.0,_ari
381,0.0,_arid
382,0.0,_arie
383,0.0,_aril
384,0.0,_arim
385,7.668862779486606e-05,_arm
386,0.00010784052985897062,_arme
387,0.0,_armi
388,0.0,_armo
389,0.0,_arn
390,0.0,_arne
391,0.0,_arno
392,0.0,_aro
393,0.0,_arom
394,0.0,_art
395,0.0,_arte
396,0.0,_arti
397,0.0,_arto
398,0.0,_aru
399,0.0,_arui
400,0.0,_arx
401,0.0,_arx_
402,0.0005046689615331554,_as
403,4.920204158789779e-05,_asc
404,0.0,_asca
405,5.0600822409116045e-05,_asce
406,0.0,_asco
407,5.704353460187946e-05,_ascr
408,0.0,_ase
409,0.0,_aser
410,0.0,_asi
411,0.0,_asia
412,0.0,_asid
413,0.0,_asim
414,0.0,_asin
415,0.0,_aso
416,0.0,_asor
417,0.0,_asot
418,0.0,_asp
419,0.0,_aspa
420,0.0,_aspe
421,0.0,_ass
422,0.0,_asse
423,0.0,_assi
424,0.0,_assu
425,0.0,_ast
426,0.0,_asta
427,0.0,_at
428,0.0,_ata
429,0.0,_atam
430,0.0,_ate
431,0.0,_ates
432,0.0,_atr
433,0.0,_atri
434,0.0,_atu
435,0.0,_atul
436,0.00031180447990901335,_au
437,0.0,_auc
438,0.0,_auct
439,0.0,_aud
440,0.0,_aude
441,0.0,_audi
442,0.0,_aue
443,0.0,_aue_
444,0.0,_auen
445,0.0,_auer
446,0.0,_aug
447,0.0,_augu
448,0.0,_aui
449,0.0,_aui_
450,0.0,_auib
451,0.0,_auid
452,0.0,_aul
453,0.0,_aulo
454,0.0,_aur
455,0.0,_aure
456,0.0,_auro
457,0.00020229587120031953,_aus
458,0.0001858787828101377,_aust
459,0.00023639371497731745,_aut
460,0.0,_aut_
461,0.0,_auta
462,0.0,_aute
463,0.0,_auti
464,0.0,_auu
465,0.0,_auul
466,0.0,_ax
467,0.0,_axa
468,0.0,_axam
469,0.00020447935521823946,_b
470,4.355189085641446e-05,_ba
471,0.0,_baa
472,0.0,_baal
473,0.00017116085827754293,_bab
474,7.201702820243186e-05,_babi
475,0.0,_bah
476,0.0,_bahu
477,0.0,_bai
478,0.0,_baie
479,0.0,_bais
480,0.0,_baiu
481,0.0,_bal
482,0.0,_bald
483,0.0,_bali
484,0.0,_baln
485,3.1079709427151036e-05,_bals
486,0.0,_bap
487,0.0,_bapt
488,0.0,_bar
489,0.0,_bara
490,0.0,_barb
491,0.0,_barn
492,0.0,_bart
493,0.0,_bas
494,0.0,_basa
495,0.0011171868414596275,_be
496,8.603268554402264e-05,_bea
497,0.00013848689602358492,_beat
498,0.0,_bel
499,0.0,_bele
500,0.0,_belo
501,0.0,_belu
502,0.0011352448475664002,_ben
